BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2,f3
0,CC(C)c1c(C(=O)NCc2cncc(F)c2)c2ccc(NC3CCCC3)cc2n1Cc1ccccc1,0.2644,"[-0.100000, 0.071932, -0.041936]",0.00806265,0.26141827,0.03134629
1,CCN1C(=O)C(=O)N(CC(=O)N2CCN(c3ccccc3)CC2)C1=O,0.2707,"[-0.100000, 0.071932, -0.065519]",0.68134397,0.1794164,1.0
2,O=C(c1cccc(C#Cc2ccccn2)c1)N1CCN(c2ccccn2)CC1,0.2707,"[-0.100000, 0.071932, -0.065519]",0.000256022686,0.274920886,1.0
3,CN1CCC(n2nc(-c3ccc4ccccc4c3)c(C(N)=O)c2N)CC1,0.2707,"[-0.100000, 0.071932, -0.065519]",1.0,0.24922118,1.0
4,CN1CCN(c2ccc([N+](=O)[O-])c(NC(c3ccccc3)c3ccccc3)c2)CC1,0.2707,"[-0.100000, 0.071932, -0.065519]",0.01797789,0.3469163,0.86053
5,Cn1c(NC(=O)c2ccco2)c(-c2ccccc2Cl)c(=O)c2ccccc21,0.2707,"[-0.100000, 0.071932, -0.065519]",0.03622927,0.1226158,0.78039988
6,CN1CCN(c2nnc(-c3ccccc3)c(-c3ccccc3)n2)CC1,0.2707,"[-0.100000, 0.071932, -0.065519]",4.28582457e-05,0.299586777,1.0
7,CC(C)(C)C(=O)Nc1ccc(N2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.2707,"[-0.100000, 0.071932, -0.065519]",3.70770709e-07,0.283905229,0.811253157
8,COc1ccc(S(=O)(=O)N(C)CC(=O)N2CCN(c3ccccc3)CC2)cc1,0.2707,"[-0.100000, 0.071932, -0.065519]",0.13971816,0.26687598,1.0
9,COc1cc(OC)cc(C(=O)Nc2ccc(N3CCN(C(=O)c4cccs4)CC3)cc2)c1,0.2708,"[-0.100000, 0.071932, -0.065519]",0.16793799,0.27921598,1.0
10,C(=NN1CCN(c2ccccc2)CC1)c1ccc2ccccc2n1,0.2708,"[-0.100000, 0.071932, -0.065519]",4.23641013e-08,0.321557971,1.0
11,O=C(Cn1nc(Cc2cccnc2)c2ccccc2c1=O)N1CCN(c2ccc(F)cc2)CC1,0.2713,"[-0.100000, 0.071932, -0.065519]",0.17502184,0.31509695,1.0
