BO Iteration,Selected SMILES,EI,Objective Value
0,CC(C)(C)c1ccc(Cn2ccc(CCCCC(=O)NO)n2)cc1,0.2576,0.1434
1,CCCCc1ncc(C=C2C(=O)N(CCCC)C(=O)N2Cc2ccsc2)n1Cc1ccc(C(=O)O)cc1,0.2533,0.1399
2,CC(=O)N1CCCC1(Cc1ccc(F)cc1)C(=O)OCc1ccccc1,0.2521,0.4454
3,CC(NC(=O)C1(Cc2ccccc2)CCN1C(=O)OCc1ccccc1)C(N)=O,0.2609,0.4319
4,CC(C)(C)NC(=O)C1CCCN1C(=O)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.2685,0.4271
5,COc1ccc(CC(NC(=O)C2(NC(=O)C(SC(C)=O)C(C)C)CCCC2)C(=O)OCc2ccccc2)cc1,0.2739,0.4298
6,NC(=O)C1(Cc2ccc(OCc3ccccc3)cc2)CC1C(=O)NO,0.2758,0.4508
7,CC(C)CC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.2774,0.4044
8,COc1ccc(CCNC(=O)C(=O)C(CCCN=C(N)N)NC(=O)C2CCN3CCC(N)(Cc4ccccc4)CN23)cc1,0.2795,0.1489
9,CCOC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,0.2769,0.009413
10,CC(=O)N(CCc1ccccc1)c1ccc2c(c1)C1CC2CCN1C(=O)OCc1ccccc1,0.2733,0.008302
11,CC(C)C(NC(=O)C(S)Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.2648,0.1496
12,CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CCCC1C(=O)NC(COCc1ccccc1)COC(N)=O,0.2632,0.438
13,CC(NC(=O)OCc1ccccc1)C(=O)NC(C)C(=O)NN(CC(N)=O)C(=O)C=CC(=O)N1CCCc2ccccc21,0.2662,0.4021
14,N=C(N)N1CCCC(NC(=O)CNC(=O)C(CCNC(=O)c2cncc(Br)c2)NC(=O)OCc2ccccc2)C1O,0.2693,0.4132
15,NC(=O)C(=O)C(Cc1ccccc1)NC(=O)C1CCN(C(=O)C=Cc2ccncc2)CC1,0.2716,0.378
16,Cc1cnc(C(=O)NC(Cc2nc(I)n(Cc3ccccc3)c2I)C(=O)N2CCCC2C(N)=O)cn1,0.2704,0.1589
17,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccncc1,0.2712,0.1657
18,O=C(Nc1ccccc1)C1CCCN(C(=O)c2ccc(F)cc2)C1,0.2677,0.3984
19,NC(CCNCc1ccccc1OCc1ccccc1)C(=O)N1CCCCC1,0.2691,0.4112
20,O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1)N1CCC2(O)CCCCC2C1,0.2726,0.139
21,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccccc2SCC(=O)N2CCCC2)cc1,0.2695,0.4279
22,CSc1ccc(C(=O)C(=O)c2ccccc2C(=O)N2CCCCC2)cc1,0.2743,0.4019
23,CCOc1cc(C(=S)N2CCCC2)ccc1OCc1ccccc1,0.2735,0.4307
24,O=C(COc1cccc(F)c1C(=O)N1CCCCC1)NC(CO)Cc1ccccc1,0.2767,0.4155
25,O=C(C=Cc1ccc(OCCCCN2CCCCC2)cc1)c1ccccc1,0.2784,0.4037
26,NC(=O)c1ccc(-c2noc(C3CCCCN3C(=O)COc3ccccc3)n2)cc1,0.2794,0.156
27,O=C(c1ccccc1SCc1ccccc1)N1CCCCCC1,0.2787,0.3644
28,CCc1ccc(NC(=O)C(=O)c2cn(CC(=O)N3CCCCC3)c3ccccc23)cc1,0.2781,0.1549
29,O=C(NCCCN1CCOCC1)c1ccnc(OCc2ccccc2)c1,0.2749,0.4082
30,CC(=O)c1ccc(N2CCCC(CO)(Cc3ccccc3F)C2)nc1,0.2747,0.3953
31,O=C(C(=O)N1CCCC1C(=O)OCCCc1cccnc1)c1ccccc1,0.2759,0.4385
32,COc1ccccc1C(=CCCN1CCCC(C(=O)O)C1)c1ccccc1,0.2792,0.4174
33,O=C(CN1CCN(C(=O)c2ccccc2)CC1)Nc1ccc(Br)cn1,0.2813,0.3937
34,O=C(Oc1ccc(Br)cc1C(=S)N1CCOCC1)c1ccccc1,0.2823,0.3984
35,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.2832,0.4527
36,CNC(=O)c1ccc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.2814,0.1599
37,O=C(c1ccc(OCc2cccnc2)cc1)C1CC1,0.2823,0.3845
38,O=C(CSCc1ccccc1)N1CCc2ccccc21,0.2825,0.3906
39,CSCC1CCN(C(=O)c2ccccc2NCc2cccnc2)C1,0.2825,0.3968
40,O=C(OCC1CCCN(C(=O)CCc2ccccc2)C1)c1ccccc1C(F)(F)F,0.2835,0.4372
41,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(F)(F)F)cc1,0.2854,0.3819
42,Cc1ccc(C(=O)N2CCCC(CCC(=O)NCc3ccccc3F)C2)cn1,0.2857,0.4455
43,O=C(NCc1cccs1)C1CCCN1S(=O)(=O)c1ccccc1F,0.2861,0.3883
44,CCCN1CCCC1C(=O)NCc1ccc(C(=N)N)cc1,0.2864,0.1482
45,O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCc1cccc(C(F)(F)F)c1,0.2847,0.3929
46,Cc1cccc(C(=O)NCCC(=O)N2CCc3ccccc3C2)c1,0.2849,0.4435
47,O=S(=O)(NCCN1CCc2ccccc2C1)c1ccccc1,0.2885,0.3703
48,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccccc2N(C)C)C1,0.2863,0.4206
49,O=c1ccc(-c2ccccc2)nn1CCC(=S)N1CCCC1,0.2868,0.3703
50,CC1(c2ccccc2)CCCN(C(=O)NCCc2ccc3nc[nH]c3c2)C1,0.2875,0.1451
51,O=C(O)CCN1CCc2ccccc2C1c1ccncc1,0.2855,0.4237
52,CN(CC=Cc1ccccc1)Cc1cccc2c1CCC2,0.2865,0.3733
53,O=C(COC(=O)c1ccc(Br)o1)NC1CCCc2ccccc21,0.2871,0.4825
54,O=C(OCC1CCCCO1)c1cccc(-c2ccccc2)c1,0.2761,0.4166
55,c1coc(CN2CCC3(CCCc4ccccc43)CC2)c1,0.2758,0.1226
56,O=C(C=Cc1ccccc1)c1ccc2c(c1)OCCCCO2,0.2749,0.3688
57,O=C(O)C1CCCN(CCOCCN2c3ccccc3Sc3ccccc32)C1,0.274,0.1589
58,O=C(CN1CCCCC1c1cccnc1)c1ccccc1,0.2735,0.3733
59,Cc1ccc(C(=O)NCC(=O)OC(C)C(=O)NC2CCCc3ccccc32)cc1,0.2731,0.4623
