BO Iteration,Selected SMILES,Hypervolume,f1,f2
52,CCOc1cc(C(=O)N2CCNC(=O)C2)cc(Br)c1OC,0.2205,0.17391304,0.13533528
53,COC(=O)c1cc(Br)c(=O)n(Cc2ccc(C(=O)O)cc2)c1,0.2205,0.21238938,0.13533528
54,CCSC1=NCCN1S(=O)(=O)c1ccc2ccccc2c1,0.2205,0.16101695,1.0
55,Cc1sc2nc(CSC(C)C(=O)N(C)CC(=O)Nc3ccccc3C(F)(F)F)nc(O)c2c1C,0.2205,0.19858156,1.0
56,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)COC,0.2243,0.31132075,0.13533528
57,COC(=O)c1ccc(Oc2ccc3nnc(C)n3n2)cc1,0.226,0.20175439,1.0
58,COc1ccc(S(=O)(=O)N(Cc2ccccn2)C(C(=O)NO)C(C)C)cc1,0.226,0.17054264,0.13533528
59,COc1ccc(NC(=O)C(Cl)=C(Cl)[S+]([O-])Cc2ccccc2Cl)cn1,0.226,0.21666667,0.13533528
60,O=C(c1ccc2cc(Oc3ccc(C(F)(F)F)cn3)ccc2n1)N1CCC1,0.226,0.11678832,0.13533528
61,Cc1cc(C(=O)OCC(=O)c2ccccc2)c2ccccc2n1,0.226,0.23275862,1.0
62,COC(=O)Cn1cc(C(=O)C(F)(F)F)c2ccccc21,0.226,0.22429907,0.13533528
63,CCOC(=O)c1csc(NN=C(C)c2ccccn2)n1,0.226,0.2293578,0.13533528
64,CS(=O)(=O)Nc1cccc(CNC(=O)Nc2nc(-c3ccncc3)cs2)c1,0.226,0.13235294,1.0
65,O=C(Cn1sc2ccccc2c1=O)Nc1ccccc1F,0.226,0.17094017,1.0
66,COc1ccccc1Cn1c(SCC(N)=O)nc2c(oc3ccccc32)c1=O,0.226,0.19847328,0.13533528
67,COc1ccc2oc(=O)c(C(=O)NCc3ccc(C)cc3)cc2c1,0.226,0.17886179,1.0
68,CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC)C1c1nc2ccccc2[nH]1,0.283,0.34513274,1.0
69,Cc1ccc(CC(=O)c2ccc(Cl)cc2)cc1,0.2867,0.1682243,0.13533528
70,CCOC(=O)C1C(C(=O)OCC)C12C(=O)N(C)c1ccccc12,0.2867,0.28440367,1.0
71,Cc1ccc(-c2cc(-c3nnc(SCC(=O)NCC(C)C)n3N)c3ccccc3n2)cc1,0.2867,0.18309859,0.13533528
72,O=C(Nc1nnc(-c2ccc(F)cc2)s1)Nc1ccccc1F,0.2867,0.15322581,1.0
73,CCOC(=O)Cc1cc(-c2ccc(C(F)(F)F)cc2)n(-c2ccc(S(C)(=O)=O)cc2)c1C,0.2867,0.19708029,1.0
74,CCOc1cc(C(=O)OCC(=O)Nc2cc(C)on2)ccc1OCC(C)C,0.2867,0.25619835,0.13533528
75,COc1ccc2oc(C(=O)OCC(=O)N3CCCC(C)C3)c(C)c2c1,0.2867,0.225,1.0
76,CC(CCn1ccc(-c2ccc3ccccc3c2)cc1=O)(C(=O)NO)S(C)(=O)=O,0.2867,0.17164179,1.0
77,CCOC(=O)c1c(C)[nH]c(C(=O)COc2ccc3ccc(=O)oc3c2)c1C,0.2867,0.27731092,1.0
78,CCN(C(=O)c1ccc(O)nc1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,0.2867,0.20155039,1.0
79,CCSCn1c(Cc2ccccc2)c(CC)c(=O)[nH]c1=O,0.2867,0.22522523,0.13533528
80,Cc1cnc(NC(=O)c2nn(C)c(-c3ccc(F)cc3)c2C)s1,0.2867,0.1557377,1.0
81,COC(=O)c1cc2sccc2n1CC(=O)N(C)c1ccccc1,0.2867,0.24561404,1.0
82,c1ccc2[nH]c(-c3ccc(C4CNCCO4)cc3)nc2c1,0.2867,0.13821138,0.13533528
83,Cc1ccc2c(=O)cc(C(=O)NCc3ccccc3)oc2c1C,0.2867,0.20338983,1.0
84,Cc1nn(-c2ccccc2)c(Cl)c1C(=O)OCC(=O)NCCc1ccccc1,0.2867,0.24603175,1.0
85,COc1ccc(-c2nc(C)cc(SCC(N)=O)n2)cc1,0.2867,0.1875,0.13533528
86,CCOc1ncccc1C(=O)OCC(=O)c1ccc(C)c(C)c1,0.2867,0.27027027,0.13533528
87,CCOC(=O)c1cc2n(c1C)-c1ccccc1-c1ccccc1-2,0.2867,0.26548673,0.13533528
88,CCn1cc(C(=O)Nc2ccccc2)c(=O)c2ccc(C)nc21,0.2867,0.21367521,1.0
89,CCOC(=O)C(Cc1ccccc1)Cc1nc2ccccc2s1,0.2867,0.22033898,1.0
90,CCOC(=O)c1csc(NN=Cc2cccc3ccccc23)n1,0.2867,0.23076923,1.0
91,CCOC(=O)c1c(-c2cc3ccc(OC)cc3oc2=O)nn(-c2ccccc2)c1C(=O)OCC,0.2867,0.28148148,0.13533528
92,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)C(C)N(C)Cc1sccc1C,0.2867,0.15503876,0.13533528
93,CC(C)Oc1cc2c(cc1NC(=O)c1ccncc1)n(C)c(=O)n2C,0.2867,0.15873016,1.0
94,NC(=O)c1ccc(-c2noc(C3CCCCN3C(=O)COc3ccccc3)n2)cc1,0.2867,0.17985612,0.13533528
95,CCOC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCC(O)CN3CCOCC3)cc12,0.2867,0.24637681,0.13533528
96,CCN(CC)c1nc(C(F)(F)F)nc2c1nnn2Cc1ccccc1,0.2867,0.16666667,1.0
97,COCCOC(=O)c1c(C)oc2ccc(OC(=O)c3cccs3)cc12,0.2867,0.27586207,1.0
98,CCOC(=O)c1c2c(n3ccc(C)cc13)C(=O)c1ccccc1C2=O,0.2867,0.26724138,0.13533528
99,Cc1cc(C)cc(C(=O)Nc2nc(CC(=O)NO)cs2)c1,0.2867,0.1637931,0.13533528
100,CCOc1ccc(-c2nc(CSCC(=O)NCc3ccc(C)cc3)c(C)o2)cc1,0.2867,0.19402985,1.0
101,CCN(CC)C(=O)c1ccc(CNS(=O)(=O)c2cccc(Cl)c2)cc1,0.2867,0.18699187,0.13533528
102,CCOC(=O)c1c(N)sc(N=Cc2ccc(Cl)cc2)c1C(=O)OCC,0.2867,0.30357143,0.13533528
103,CCOC(=O)C(C(=O)NCc1ccc(F)cc1)c1ncc(C(F)(F)F)cc1Cl,0.2867,0.224,0.13533528
104,CCC1SC(=C(C#N)C(=O)NCc2ccco2)N(c2ccc(Br)cc2)C1=O,0.2867,0.16793893,1.0
105,COc1ccc2ccc(-c3cccnc3)c(Cl)c2c1F,0.2867,0.15517241,1.0
106,CCOc1ccc(NC(=O)c2ccccc2NS(C)(=O)=O)cc1,0.2867,0.20512821,0.13533528
107,COC(=O)C1=C(c2ccc3ccccc3c2)CC2CCC1N2C,0.2867,0.24347826,0.13533528
108,COc1ccccc1-c1nc(-c2ccc3c(c2)CCN3S(C)(=O)=O)cs1,0.2867,0.17054264,0.13533528
109,Cc1csc2nc(CNC(=O)c3cccc(C(F)(F)F)c3)cn12,0.2867,0.14634146,1.0
110,CS(=O)(=O)c1ccc(OCc2nnc3sc(-c4ccccc4Cl)nn23)cc1,0.2867,0.203125,0.13533528
111,CCOC(=O)c1c(C)oc2c1c1c(c3ccccc32)OCN(Cc2cccnc2)C1,0.2867,0.23308271,0.00033546
112,CN(C)CCn1c(=O)oc2cc(C(=O)c3ccccc3)ccc21,0.2867,0.19327731,1.0
113,Cn1cc(-c2ccccc2)nn1,0.2867,0.13131313,0.13533528
114,Cc1c(C)c2ccc(OC(C)C(=O)O)cc2oc1=O,0.2867,0.18518519,0.13533528
115,CCCCCn1cc(C(=O)NCc2ccccc2)c(=O)c2c(C)nn(C)c21,0.2867,0.23387097,1.0
116,COC(=O)c1ccc(S(=O)(=O)N(CCC(F)(F)F)c2sc3ccccc3c2C)cc1,0.2867,0.23255814,1.0
117,Cc1ccccc1-c1nc(CNCCCN(C)c2ccccc2)co1,0.2867,0.171875,1.0
118,CCOP(=O)(Cc1ccc(-c2nc3cccc(O)c3s2)cc1)OCC,0.2867,0.184,1.0
119,Cc1nc(-c2cnn(C)c2Oc2ccccc2)cn2c(C)nnc12,0.2867,0.168,0.13533528
120,CC(CN(C)Cc1ccccc1)NC(=O)c1ccc(-c2noc(C(F)(F)F)n2)cc1,0.2867,0.15827338,1.0
121,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(-c2ccc(OC)cc2OC)c(=O)c2c(C)c(C)sc21,0.2867,0.21232877,0.13533528
122,CN(C)CCCCOC(=O)Nc1cccc(Cn2nc(Nc3ccccc3)ccc2=O)c1,0.2867,0.19858156,1.0
123,CCOC(=O)c1cc2sccc2n1CC(=O)Nc1ccc(OC)cc1OC,0.2867,0.275,1.0
124,CC(=O)N(C(C)=O)c1ccc(-c2nc3ccccc3s2)cc1C,0.2867,0.22608696,1.0
125,Cc1noc(-c2ccccc2)c1C(=O)NC(C(=O)c1ccc(C#N)cc1)C(C)C,0.2867,0.1969697,1.0
126,CCOC(=O)c1c(-c2ccc([N+](=O)[O-])cc2)[n+]([O-])c2ccccc2[n+]1[O-],0.2867,0.24166667,1.0
127,NC(=O)c1cc2ccccc2n1Cc1ccc(Cl)c(Cl)c1,0.2867,0.21428571,1.0
128,CCOC(=O)Cc1ccccc1OC(=O)c1cc(OC)cc(OC)c1,0.2867,0.3125,0.13533528
129,CSC1=NC(=O)C(=Cc2cccc3ccccc23)S1,0.2867,0.15789474,1.0
130,Cc1ccc(OCC(=O)NCCCNC(=O)c2ccncc2)cc1C,0.2867,0.19354839,0.13533528
131,CCOC(=O)c1nc2cc(C(F)(F)F)ccc2nc1Oc1ccc(C(=O)OC)cc1,0.2867,0.26984127,1.0
132,O=C(O)CC1c2[nH]c3ccccc3c2CCN1C(=O)Cc1ccccc1,0.2867,0.19685039,0.13533528
133,CCNC(=O)C1(C)CCCN(C(=O)c2oc3ccccc3c2C)C1,0.2867,0.22033898,1.0
134,Cc1ccc(-c2nonc2NC(=O)c2ccco2)cc1C,0.2867,0.16101695,1.0
135,CCC1(CC)C(=O)N(C(=O)NCc2ccccc2)C1OCC(=O)O,0.2867,0.23275862,0.13533528
136,COc1ccc(C(=O)OCCc2cc3ccccc3c(=O)o2)cc1,0.2867,0.24786325,1.0
137,CCN(CC)C(=O)C1Sc2ccccc2-c2c1c1cc(OC(F)(F)F)ccc1n2CCF,0.2867,0.20289855,0.13533528
138,CCN(c1ccccc1)S(=O)(=O)c1ccc(Cl)c(NC(=O)COC(=O)c2ccc(Cl)c(N)c2)c1,0.2867,0.23913043,1.0
139,NC(=O)c1cn(-c2ccc(S(N)(=O)=O)cc2)nc1-c1ccc([N+](=O)[O-])cc1,0.2867,0.12686567,1.0
140,O=P(O)(O)C(O)(c1cccc(-c2ccccc2)c1)P(=O)(O)O,0.2867,0.12396694,0.13533528
141,CC(=O)Oc1ccc(-c2csc(Nc3ccc(S(N)(=O)=O)cc3)n2)cc1,0.2867,0.14503817,1.0
142,CCOC(=O)c1ccc(OCc2nc3ccccc3n(C)c2=O)cc1,0.2867,0.28695652,1.0
143,O=C(NCc1ccco1)c1cccn2c(=O)c3sccc3nc12,0.2867,0.152,0.13533528
144,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,0.2867,0.17460317,1.0
145,Cc1cccc2sc(NNC(=O)C3COc4ccccc4O3)nc12,0.2867,0.176,0.13533528
146,COC(=O)c1c(Cc2ccccc2)[n+]([O-])c2ccc(Cl)cc2[n+]1[O-],0.2867,0.24137931,1.0
147,Nc1cc(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)on1,0.2867,0.12781955,1.0
148,CCOC(=O)C1=CN(Cc2cccc(F)c2)S(=O)(=O)N(CC)C1c1ccccc1,0.2867,0.24409449,1.0
149,CC(C)(C)OC(=O)N(Cc1ccccc1)CC(OS(=O)(=O)c1ccccc1C(F)(F)F)c1ccccc1,0.2867,0.16233766,1.0
150,COc1cccc(OC)c1-c1cc(C(=O)NC(CCCCN)C(=O)O)nn1-c1ccc(F)cc1,0.2867,0.21985816,1.0
151,COc1ccc(NC(=O)C2=CC(c3cccs3)=NS(=O)(=O)N2C)cc1,0.2867,0.15748031,1.0
152,Cc1ccc(NC(=O)c2ccccc2)cc1-c1ccc(C(=O)NCC2CC2)cc1,0.2867,0.19402985,0.13533528
153,COc1ccc2oc(=O)c(C(=O)Nc3cccc(C(C)=O)c3)cc2c1,0.2867,0.18548387,1.0
154,CCN(CC)CCCNC(=O)c1csc(Nc2cccc3ccccc23)n1,0.2867,0.19230769,1.0
155,CCOC(=O)Cc1csc(NC(=O)c2ccc3ccccc3n2)n1,0.2867,0.24786325,1.0
156,CCOC(=O)c1nc(Nc2ccccc2)c2ccccc2n1,0.2867,0.23684211,1.0
157,CC1=C(C(=O)Nc2ccc(C(F)(F)F)cc2)C(c2ccco2)n2c(nc3ccccc32)N1,0.2867,0.19148936,0.00033546
158,COc1cccc(C2SC(c3ccc(C)cc3)=NN2C(=O)c2c(F)cc(F)cc2F)c1OC,0.2867,0.18181818,0.13533528
159,CC(C)(CCOC(=O)c1ccccc1)NS(=O)(=O)OCC(Cl)(Cl)Cl,0.2867,0.22608696,0.00033546
160,CCOC(=O)C1C(C(=O)OCC)C12C(=O)Nc1ccc(F)cc12,0.2867,0.25,1.0
161,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1I,0.3293,0.52631579,0.13533528
162,Cc1cc(F)ccc1NC(=O)C(C(C)C)N1Cc2ccccc2C1=O,0.3492,0.19672131,1.0
163,CC(=O)OCc1ccc2oc(=O)c(C(=O)Sc3cccc(Br)c3)cc2c1,0.3492,0.19047619,1.0
164,CC(C)OC(=O)c1ccc(CCC2=CC(=O)C(Br)=CC2=O)cc1,0.3492,0.18644068,0.13533528
165,CCOC(=O)C1=C(N)n2c(sc(=Cc3ccncc3)c2=O)=C(C(=O)OCC)C1c1ccncc1,0.3492,0.27205882,0.13533528
166,COc1ccc(CCNC(=O)CN(c2ccccc2)S(=O)(=O)c2ccccc2)cc1,0.3492,0.17266187,1.0
167,N#CCCN(C(=O)COC(=O)c1cc2ccccc2oc1=O)c1ccccc1,0.3492,0.20769231,1.0
168,O=C(CSC1=NCCS1)Nc1cccc2ccccc12,0.3492,0.15254237,1.0
169,Cc1ccccc1C(CC(=O)O)NC(=O)c1cccc(-c2cccc(C(C)(C)O)c2)n1,0.3492,0.19852941,1.0
170,CCOC(=O)c1ccc(-c2cn3nc(-c4ccco4)nc3c(N)n2)cc1,0.3492,0.20634921,0.13533528
171,CCN(CC)c1ccc(NC(=O)c2cccc(OC)c2)c(C)c1,0.3492,0.20512821,0.13533528
172,O=C(Nc1nc2ccccc2s1)Nc1ccc(F)cc1F,0.3492,0.16101695,1.0
173,Cc1onc(-c2ccccc2)c1C(=O)OCC(=O)Nc1ccccc1,0.3492,0.22131148,1.0
174,CCOC(=O)c1cnc2n(c1=O)C(C)CCC2=NNc1ccccc1,0.3492,0.25423729,1.0
175,C=C(C)CC1(C(=O)c2ccccc2)C(=O)Oc2ccc3ccccc3c2N1C,0.3492,0.18181818,0.13533528
176,Cc1ccc(F)c(NC(=O)c2cncn2-c2ccccc2)c1,0.3492,0.16666667,1.0
177,CN(C)C(=O)N1c2ccccc2Sc2ccccc21,0.3492,0.16964286,1.0
178,Cc1ccccc1NC(=O)C1CC(=O)N(Cc2ccccc2)C1,0.3492,0.18181818,1.0
179,CC(=O)CC(c1ccccc1)c1c(SCC(NC(C)=O)C(=O)O)c2ccccc2oc1=O,0.3492,0.18571429,1.0
180,CCOC(=O)c1oc2ccccc2c1NC(=O)c1ccco1,0.3492,0.27272727,1.0
181,CCC(C(=O)N(C)CCCNc1ccnc2cc(Cl)ccc12)c1ccccc1,0.3492,0.20769231,1.0
182,COC(=O)CCC(=O)Nc1cccc(COc2ccc3ccccc3c2)c1,0.3492,0.24,1.0
183,O=C(O)C(O)=CC(=O)c1cc(Cc2ccccc2)cn(Cc2c(F)cccc2F)c1=O,0.3492,0.17266187,1.0
184,CCC(C(=O)OCC(=O)c1ccc2c(c1)NC(=O)CO2)c1ccccc1,0.3492,0.23770492,1.0
185,CCOC(=O)n1c(=O)n(Cc2ccccc2C)c2ccccc21,0.3492,0.25663717,1.0
186,O=C(Nc1c(O)c2ccccc2oc1=O)c1ccccc1Cl,0.3492,0.20869565,1.0
187,O=C(Cc1cccs1)N1CCN=C1SCc1cccc(F)c1,0.3492,0.13709677,1.0
188,CN(C)C(=O)C(Cc1ccccc1)NC(=O)c1cc2cc(F)ccc2[nH]1,0.3492,0.2,1.0
189,CCN(CC)c1ccc2c(Nc3ccccc3)c(C=O)c(=O)oc2c1,0.3492,0.184,1.0
190,Cc1c(C(=O)Nc2ccccc2)csc1-c1ccccc1,0.3492,0.16949153,1.0
191,Cn1c(Cc2cccs2)nnc1SCC(=O)Nc1ccc(F)cc1F,0.3492,0.14728682,1.0
192,CCCCCn1cc(C(=O)Nc2ccc3ccccc3c2)c(=O)c2ccccc21,0.3492,0.19259259,0.13533528
193,Cc1ccccc1-c1nc(CS(=O)(=O)CC(=O)NC(C)c2ccccc2)c(C)o1,0.3492,0.1969697,1.0
194,CC(=O)OCC[n+]1c(C)n(-c2ccccc2)c2ccc(Cl)cc21,0.3492,0.24561404,1.0
195,CCOC(=O)NN1C(=O)c2ccccc2NC1c1cccs1,0.3492,0.23893805,1.0
196,CCOC(=O)CN1C(=O)C(=O)N(CCc2ccccc2)C1=O,0.3492,0.25454545,0.13533528
197,O=c1[nH]c(=O)n(Cc2cccc(Cl)c2)cc1Nc1ccccc1,0.3492,0.18181818,1.0
198,COC(=O)c1cc(-c2ccc(C=C3SC(=Nc4ccccc4)N(CCCN(C)C)C3=O)o2)ccc1Cl,0.3492,0.23448276,0.13533528
199,CC(C)(C)NC(=O)c1cccc(NC(=O)Cc2ccc(Br)cc2)c1,0.3492,0.17213115,0.13533528
