BO Iteration,Selected SMILES,Hypervolume,f1,f2
0,O=C(Nc1cc2c3c(c1)CC(=O)N3CCC2)c1ccc(F)cc1,0.0997,0.12598425,0.13533528
1,CC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NC2CCCC2)c2cccs2)cc1,0.0997,0.1369863,0.13533528
2,O=C(CCc1nc2cccnc2n1Cc1ccccc1)NCc1ccccc1F,0.0997,0.16546763,0.13533528
3,COc1ccc(-n2cncc2-c2ccc(S(C)(=O)=O)cc2)cc1,0.0997,0.136,1.0
4,CCOC(=O)c1[nH]cc(C)c1-c1ccn(-c2ccccc2)c1,0.1932,0.27272727,1.0
5,COC(=O)C(Cc1c[nH]c2ccccc12)N(C)C,0.1991,0.23300971,0.13533528
6,Cc1cccc(-n2cc(CN3CCN(c4ccccc4)CC3)c3ccccc32)c1,0.1991,0.13194444,0.00033546
7,COc1cc2c(C(=O)C=C(O)C(=O)O)cn(Cc3ccc(Cl)cc3Cl)c2cc1OC,0.1991,0.20454545,1.0
8,COc1cccc(-c2cc(=O)c3ccc4occc4c3o2)c1,0.1991,0.13709677,0.13533528
9,O=S(=O)(Nc1ccc2ccccc2n1)c1ccc2c(c1)CCO2,0.1991,0.14285714,0.13533528
10,[H]C([H])([H])C(c1ccc(C2(C(F)(F)F)N=N2)cc1)n1cncc1C(=O)OCC,0.1991,0.17886179,1.0
11,COc1ccccc1-c1nc2ccccc2c(=O)n1O,0.1991,0.1754386,1.0
12,NC(=O)c1cc(C(N)=O)n(-c2cccc(-c3cc(C(F)(F)F)ccc3C(F)(F)F)c2)n1,0.1991,0.14285714,1.0
13,COc1ccccc1C(=O)n1nnc2ccccc21,0.1991,0.17857143,1.0
14,CCc1cc(C(=O)NC(CCl)c2ccc(Cl)cc2)n(C)n1,0.1991,0.17391304,0.13533528
15,COc1ccc2c(c1)C(=O)N(CC1(C#Cc3nc(C(=O)N4CCN(C)CC4)ccc3OC)NC(=O)NC1=O)C2,0.1991,0.15432099,0.00033546
16,CSc1ccc2c(c1)c(O)c(C(=O)C1(c3ccccc3)CC1)c(=O)n2C,0.1991,0.17322835,0.13533528
17,COc1ccccc1NC(=O)C(C)NS(=O)(=O)c1ccccc1,0.1991,0.175,0.13533528
18,CCOC(=O)c1nn(-c2ccc(C)c(C)c2)c(=O)c2c(N)scc12,0.1991,0.25438596,1.0
19,COc1ccc(-c2cn3nc(S(N)(=O)=O)sc3n2)cc1,0.1991,0.14655172,1.0
20,COc1ccc(-c2nc3ccccn3c(=O)c2-c2ccc(OC)c(OC)c2)cc1,0.1991,0.16788321,0.13533528
21,Nc1scc2c(C(=O)O)nn(-c3ccc(F)cc3)c(=O)c12,0.1991,0.1440678,1.0
22,C=CCN(C)c1ccnc2sc3c(=O)n(-c4ccc(OC)cc4)cnc3c12,0.1991,0.13235294,0.13533528
23,COC(=O)Cc1cc(O)nc(N=C(N)Nc2ccc(C)cc2)n1,0.1991,0.19491525,0.13533528
24,CC(C)C(=O)Nc1nc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1,0.1991,0.11940299,1.0
25,COc1cc(C=CC(=O)C=Cc2cc([N+](=O)[O-])ccc2F)ccc1O,0.1991,0.1496063,0.13533528
26,CCOC(=O)c1ccc(-c2nn(CC)c3ccccc23)cc1,0.1991,0.26126126,1.0
27,NNC(=O)c1nn(-c2ccc(Cl)cc2)ccc1=O,0.1991,0.15454545,0.13533528
28,CN(C(=O)C(C)(C)c1ccc(F)cc1)C1CCc2c(CC(=O)O)c3ccccc3n2C1,0.1991,0.19852941,0.13533528
29,Nc1sc(-c2ccccc2)cc1C(=O)c1ccc(Cl)cc1,0.1991,0.19130435,1.0
30,CCOC(=O)c1cc(-c2csc(CS(=O)(=O)c3ccccc3)n2)c(=O)[nH]c1C,0.1991,0.2704918,1.0
31,Cn1cccc1C=C1SC(=S)N(NC(=O)c2cccc(Cl)c2)C1=O,0.1991,0.17073171,1.0
32,Cc1cc(C)n(-c2ccc(C(=O)Nc3nc4ccccc4s3)cc2)n1,0.1991,0.17322835,0.13533528
33,COc1ccc2oc3cc(NCCN(C)C)ccc3c(=O)c2c1,0.1991,0.16393443,1.0
34,COc1ccc(C=C2CCN3C=C(C)SC3=NC2=O)cc1,0.1991,0.1512605,1.0
35,COc1ccc(NC(=O)Cn2nc(-c3ccccc3)c3cnc4ccc(C)cc4c32)cc1,0.1991,0.17241379,0.00033546
36,COC(=O)c1cn(C(=O)c2ccc(Cl)cc2)c2ccccc12,0.1991,0.26363636,1.0
37,CC(C)(C)Cn1cc(-c2ccc(C(=O)NCCc3ccc(S(C)(=O)=O)cc3)cc2)c(N)n1,0.1991,0.16197183,1.0
38,CCCc1ccc(-c2nc(-c3cccc4c3CCN4CC(N)(CO)CO)no2)cc1,0.1991,0.13986014,0.13533528
39,CCCCN(C(=O)c1ccc(C(F)(F)F)cc1)c1nnc(-c2ccc(CN(C)C)cc2)s1,0.1991,0.16083916,1.0
40,COCCOCc1ncccc1C1C(C(=O)C(C)(C)C)C(=O)C(=O)N1c1ccc(-c2ccsc2)cc1,0.1991,0.22758621,0.13533528
41,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.1991,0.20491803,1.0
42,CCOC(=O)c1csc(NC(=O)c2ccncc2NS(=O)(=O)c2ccc(C)cc2)n1,0.1991,0.21969697,1.0
43,COc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)O)cc1,0.1991,0.17094017,0.13533528
44,CNc1cncc(-c2cccc(O)c2)n1,0.1991,0.11111111,0.13533528
45,CCC(=O)Nc1cc2ccc(-c3cc(F)ccc3C)cc2cn1,0.1991,0.16393443,1.0
46,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,0.1991,0.26126126,1.0
47,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Cl,0.2164,0.28846154,1.0
48,CCOC(=O)c1cc2ccccc2n1Cc1cccc(C(=N)N)c1,0.2182,0.26086957,1.0
49,Cc1ccc(NC(=O)NCCOCCn2c(=O)oc3ccccc32)cc1C,0.2182,0.24193548,1.0
50,CCCCCc1nc2ccccc2c(O)c1C(=O)OCC,0.2197,0.2952381,0.13533528
51,CCOC(=O)c1ccc(-n2nc(C(=O)OCC)c3csc(N)c3c2=O)cc1,0.2205,0.26666667,1.0
