BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2
0,CCC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2C,0.1101,"[0.033080, 0.048869]",0.16513761,0.13533528
1,c1ccc(C(CCN2CCCN(Cc3ccncc3)CC2)c2ccccc2)cc1,0.1101,"[0.033080, 0.048869]",0.08219178,0.13533528
2,O=C(Nc1ccc(Cl)cc1)C1CCCN(S(=O)(=O)c2c[nH]cn2)C1,0.1101,"[0.033080, 0.048869]",0.112,1.0
3,COc1ccc(-c2ccccc2)cc1NC(=O)C1OC(CO)C(O)C(O)C1O,0.1101,"[0.033080, 0.048869]",0.07971014,1.0
4,O=C(NCC(c1ccco1)N1CCCC1)c1cccc(S(=O)(=O)N2CCc3ccccc32)c1,0.1101,"[0.033080, 0.048869]",0.10596026,0.13533528
5,CC(=O)NCC1CCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,0.1101,"[0.033080, 0.048869]",0.11278195,1.0
6,CCC(c1ccc(Cl)cc1)N1CCC2(CCC(O)CC2)OC1=O,0.1101,"[0.033080, 0.048869]",0.12396694,0.13533528
7,CCCSc1ncc(Cl)c(C(=O)Nc2ccc(OC)cc2OC)n1,0.1101,"[0.033080, 0.048869]",0.0952381,1.0
8,COc1cccc(N2CCN(C(=O)CCSCc3ccccc3F)CC2)c1,0.1101,"[0.033080, 0.048869]",0.09558824,1.0
9,O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nc(C3CC3)[nH]c2-c2ccnc(NCCN3CCNC3=O)n2)c1,0.1101,"[0.033080, 0.048869]",0.09356725,0.00033546
10,COc1ccc(CNC(=O)C2CCN(Cc3nc(-c4ccc(OC)c(OC)c4)oc3C)CC2)cc1,0.1334,"[0.033080, -0.099631]",0.11764706,0.13533528
11,CC(=O)Nc1ccc(COc2cc(C(=O)NCC3CCN(c4ccncc4)CC3)ccc2F)cc1,0.1334,"[0.033080, -0.099631]",0.12418301,0.13533528
12,COc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4nonc34)C2)cc1OC,0.1334,"[0.033080, -0.099631]",0.11971831,0.13533528
13,Cn1c(-c2ccccc2Cl)nc2cc(C(=O)NCC3(CO)CC3)cnc21,0.1334,"[0.033080, -0.099631]",0.08270677,0.13533528
14,CNC(=O)c1ccc(OC)c2c(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c[nH]c12,0.1334,"[0.033080, -0.099631]",0.12328767,0.13533528
15,COc1ccc2c(c1)C(CN1CCC3(CC1)C(=O)NCN3c1ccccc1)CCO2,0.1334,"[0.033080, -0.099631]",0.08163265,1.0
16,O=C(CSc1nc[nH]n1)Nc1ccc(Cl)c(S(=O)(=O)N2CCOCC2)c1,0.1334,"[0.033080, -0.099631]",0.09022556,1.0
17,CCOc1ccc(NC2=C(N3CCOCC3)C(=O)c3ccccc3C2=O)cc1,0.1334,"[0.033080, -0.099631]",0.09352518,1.0
18,CS(=O)(=O)N1CCC(C(=O)Nc2cccc(Br)c2)CC1,0.1334,"[0.033080, -0.099631]",0.13513514,0.13533528
19,COc1ccccc1C=C(NC(=O)c1ccc(Cl)cc1Cl)C(=O)O,0.1334,"[0.033080, -0.099631]",0.096,1.0
20,COc1ccc(SCC(=O)Nc2ccccc2Cl)cc1,0.1334,"[0.033080, -0.099631]",0.05785124,1.0
21,COc1ccc(NC(=O)NC=Cc2ccc(Cl)cc2)cc1,0.1334,"[0.033080, -0.099631]",0.048,1.0
22,COc1ccc([S+]([O-])CC(=O)Nc2ccc(Cl)cc2Cl)cc1,0.1334,"[0.033080, -0.099631]",0.056,1.0
23,CC(C)c1ccccc1OCCN1CCC(NS(=O)(=O)c2cccc(Cl)c2)C1,0.1334,"[0.033080, -0.099631]",0.11940299,1.0
24,Cc1ccc(NC(=O)CCCOc2ccccc2)cc1S(=O)(=O)N1CCOCC1,0.1334,"[0.033080, -0.099631]",0.11594203,1.0
25,O=C1NC(=O)C(CC#Cc2ccc(Cl)cc2)(S(=O)(=O)c2ccc(Cl)cc2)S1,0.1334,"[0.033080, -0.099631]",0.02816901,1.0
26,COc1ccc(NS(=O)(=O)c2ccccc2)c(OC)c1,0.1565,"[0.012039, -0.099631]",0.04958678,1.0
27,COc1ccc(S(=O)(=O)N(C)CC(=O)N2CCN(c3ccccc3)CC2)cc1,0.1565,"[0.012039, -0.099631]",0.10294118,1.0
28,COc1ccc(NC(=S)N(CCCN2CCOCC2)Cc2cccs2)cc1,0.1565,"[0.012039, -0.099631]",0.08695652,1.0
29,COc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2C(=O)O)cc1,0.1565,"[0.012039, -0.099631]",0.08264463,1.0
30,CSc1ccccc1OCC(=O)c1ccc(Cl)cc1,0.1565,"[0.012039, -0.099631]",0.05042017,1.0
31,COc1ccc(C(=O)C=C(O)C(=O)O)cc1OCc1ccccc1,0.1565,"[0.012039, -0.099631]",0.0952381,1.0
32,COc1cccc(NC(=O)CSc2ccccn2)c1,0.1565,"[0.012039, -0.099631]",0.05882353,1.0
33,Cc1ccc(S(=O)(=O)NC(=O)COc2ccccc2C)c(C)c1,0.1565,"[0.012039, -0.099631]",0.08943089,1.0
34,COc1ccc(C(CNC(=O)COc2ccc(Cl)c(C)c2)N2CCCCC2)cc1,0.1565,"[0.012039, -0.099631]",0.13235294,1.0
