BO Iteration,Selected SMILES,EI,Objective Value
0,COc1ccccc1C(=O)NCCC(=O)N1CCCCC1,0.2645,0.1515
1,O=C(C(O)CCc1ccccc1)N(CCN1C2CCC1CC(c1cccc(O)c1)C2)CC1CCCCC1,0.2632,0.4029
2,O=C(OCC1CCCN(CCCc2ccccc2)C1)c1ccccc1N1C(=O)CC(C2CCCC2)C1=O,0.2719,0.4215
3,O=C1NCC(Cc2ccccc2)N(CC2CCN(CCC3CCCC3)CC2)C1=O,0.2767,0.1411
4,CC1CN(CCCc2ccccc2)C2CC(N(C)CC3CC3)CC1(c1cccc(O)c1)C2,0.2722,0.3523
5,O=C(OCC1CCCCO1)c1cccc(-c2ccccc2)c1,0.2745,0.3521
6,ON=C(NC1CCCCC1)c1ccccc1Cc1ccccc1,0.2774,0.3607
7,O=C(COc1ccc(Br)cc1CNC1CCCCC1)NCCc1ccccc1,0.2791,0.3878
8,O=C(NCCCc1cccc2oc(CCCCc3ccccc3)cc12)C1CC1,0.2821,0.1073
9,CN(CC#CCCC1(C(O)(c2ccccc2)C2CCCCC2)SCCCS1)CCc1ccccc1,0.2778,0.3291
10,O=C(NC1CN(Cc2ccccc2)CC1c1ccccc1)C1CCCCC1,0.2794,0.3907
11,N=C(N)CC1CCC(NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NS(=O)(=O)Cc2ccccc2)CC1,0.2822,0.4264
12,NC(=O)CCC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CCc1ccccc1)C(=O)NC1CCCCC1,0.2877,0.4271
13,O=C(CN(c1nc(Cl)nc2c1ncn2C1CCCCO1)C1CC1)NC(CCC(=O)OCc1ccccc1)C(=O)OCc1ccccc1,0.2859,0.007976
14,NCc1cccc(-c2cccc(OC(=O)NC3CCCCC3)c2)c1,0.2832,0.3825
15,O=C(CN(Cc1cccs1)C(=O)CNS(=O)(=O)c1ccccc1)NC1CCCC1,0.2847,0.4082
16,O=C(CNC(=O)NC1CCCCC1)NC(Cc1ccccc1)C(=O)O,0.2878,0.1823
