BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2
0,COc1ccc(C)cc1NC(=O)Cn1c(=O)oc2cc(S(=O)(=O)N3CCCCC3)ccc21,0.1488,"[0.048840, -0.100000]",0.15172414,0.13533528
1,Cn1cc(Nc2nccc(-c3ccc(N4CCC(C(N)=O)CC4)c(C#N)c3)n2)cn1,0.1488,"[0.048840, -0.100000]",0.12413793,0.13533528
2,C=CCNC(=S)NN=C1CCS(=O)(=O)c2ccccc21,0.1488,"[0.048840, -0.100000]",0.14655172,0.13533528
3,O=c1c2cc([N+](=O)[O-])ccc2n2n1Cc1ccccc1C2,0.1488,"[0.048840, -0.100000]",0.1512605,0.13533528
4,O=C(CN(CCNc1ccnc2cc(Cl)ccc12)C(=O)c1cnccn1)NC1CCCCC1,0.1488,"[0.048840, -0.100000]",0.15333333,0.13533528
5,Nc1ccc(S(=O)(=O)NCCCCc2c[nH]cn2)cc1,0.1488,"[0.048840, -0.100000]",0.14529915,0.13533528
6,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)O)c1,0.1541,"[0.048840, -0.100000]",0.22807018,0.13533528
7,Nc1cnc(-c2ccc(-c3cccnc3N3CCCC3=O)cc2F)cn1,0.1566,"[0.046562, -0.100000]",0.10948905,0.13533528
8,Cc1cc(C(=O)NC2CCCCC2C)c2ccccc2n1,0.159,"[0.046562, -0.100000]",0.18103448,1.0
9,CCN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1OC,0.159,"[0.046562, -0.100000]",0.18543046,0.13533528
10,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)COC,0.1786,"[0.046562, -0.100000]",0.31132075,0.13533528
11,COc1cc2nc(Nc3ccc(F)cc3)nc(NCCCCCN3CCCC3)c2cc1OC,0.1877,"[0.038237, -0.100000]",0.13815789,0.13533528
12,O=c1c2cccc(-c3nc4ccccc4nc3O)c2sn1C1CCCC1,0.1877,"[0.038237, -0.100000]",0.13333333,0.00033546
13,Cc1cccc(NC(=O)c2cc([N+](=O)[O-])ccc2N2CCN(C)CC2)c1,0.1877,"[0.038237, -0.100000]",0.14503817,1.0
14,O=C(NC1CCCCC1)c1ccc(-c2ccccc2)cc1,0.1877,"[0.038237, -0.100000]",0.13934426,1.0
15,CC1CCCCN1C(=O)c1cc(Cl)ccc1[N+](=O)[O-],0.1877,"[0.038237, -0.100000]",0.14159292,0.13533528
16,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1Cl,0.1877,"[0.038237, -0.100000]",0.13888889,0.13533528
17,O=C(O)C1CCCC(c2ccc3ccccc3c2)O1,0.1877,"[0.038237, -0.100000]",0.14782609,1.0
18,COc1ccc(CNc2nnc(N3CCC(OC)CC3)c3ccc(C#N)cc23)cc1Cl,0.1877,"[0.038237, -0.100000]",0.15277778,0.13533528
19,Cc1[nH]c2ccc(CNC(=O)c3ccc(CN4CCCC4)o3)cc2c1C,0.1877,"[0.038237, -0.100000]",0.16030534,0.13533528
20,O=[N+]([O-])CCc1nc(-c2ccccc2)no1,0.1877,"[0.038237, -0.100000]",0.14953271,0.13533528
21,C=CC1=C(C(=O)Nc2cccc(C)c2)C(c2ccc(OC)cc2)OC1,0.1903,"[0.038237, -0.100000]",0.184,1.0
22,COc1cccc(C(C(=O)NC2CCCC2)N(C(=O)c2ccco2)C2CC2)c1OC,0.1903,"[0.038237, -0.100000]",0.17391304,0.13533528
23,CC1CCCC(NC(=O)c2ccccc2Nc2ccc3c(C=Cc4ccccn4)n[nH]c3c2)C1,0.1903,"[0.038237, -0.100000]",0.14193548,0.00033546
24,O=C(O)Cc1cccc(CCC2C3CCC(O3)C2c2nc(C(=O)NCCCCC3CCCCC3)co2)c1,0.1903,"[0.038237, -0.100000]",0.13496933,0.00033546
25,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccnc1)n2CCC(N)=O)C1CCCCC1,0.1903,"[0.038237, -0.100000]",0.15540541,0.13533528
26,Cc1ccccc1CC(=O)NCC1CCCCC1,0.1903,"[0.038237, -0.100000]",0.18348624,0.13533528
27,Nc1ccc(C(=O)Nc2ccccc2N2CCCCC2)o1,0.1903,"[0.038237, -0.100000]",0.15,1.0
28,Cc1ccc(S(=O)(=O)N(CC(=O)OC(C)(C)C)Cc2ccc([N+](=O)[O-])s2)cc1,0.1903,"[0.038237, -0.100000]",0.16030534,0.13533528
29,O=C1NC(c2ccc(N3CCCCCC3)cc2)Nc2ccccc21,0.1903,"[0.038237, -0.100000]",0.13846154,0.13533528
30,CCc1ccc(C=NNC(=O)c2ccc(OCCN(C)C)cc2)cc1,0.1903,"[0.038237, -0.100000]",0.17460317,0.13533528
