BO Iteration,Selected SMILES,Hypervolume,RefPoint,f1,f2
0,Cc1cn(C2CC(N=[N+]=[N-])C(COP(=O)(O)OP(=O)(O)OCc3ccc(OC(=O)c4ccc(C(F)(F)F)cc4)cc3)O2)c(=O)[nH]c1=O,0.2125,"[-0.002185, -0.099631]",0.08695652,0.13533528
1,COc1cccc(NC(=O)CNC(C)CCC(C)C)c1,0.2125,"[-0.002185, -0.099631]",0.13513514,0.13533528
2,CCCSc1nsnc1OC1CN2CCC1CC2,0.2125,"[-0.002185, -0.099631]",0.1588785,0.13533528
3,COc1ccc(Oc2nc(-c3ccccn3)nc3ccccc23)cc1,0.2125,"[-0.002185, -0.099631]",0.01398601,0.00033546
4,COC(=O)c1cc(C(=O)OC)c2c(Cl)cc(N(C)C)cc2n1,0.2142,"[-0.003724, -0.099631]",0.08333333,1.0
5,Cc1cc(CO)ccc1-c1ccc(N(CC(F)(F)F)S(=O)(=O)c2cccc3c2ccn3C)cc1,0.2142,"[-0.003724, -0.099631]",0.05095541,0.00033546
6,Nc1sc(-c2ccccc2)c(-c2ccc(Cl)cc2)c1C(=O)NCc1ccccc1,0.2142,"[-0.003724, -0.099631]",0.03333333,0.00033546
7,CC1(C)Oc2ccc(C#N)cc2C(N=C(NC#N)Nc2ccc(N)cc2)C1O,0.2142,"[-0.003724, -0.099631]",0.04929577,1.0
8,Cc1ccc(F)cc1C(=O)N1CCCCC1c1cc(C(=O)NC(C)C)no1,0.2142,"[-0.003724, -0.099631]",0.17741935,1.0
9,CN(C(=O)COC(=O)CNC(=O)c1ccc(Cl)cc1Cl)c1ccccc1,0.2142,"[-0.003724, -0.099631]",0.1171875,1.0
10,N#CC(=Cc1ccc(N2CCCCC2)c([N+](=O)[O-])c1)c1nn(-c2ccccc2)c(N)c1C#N,0.2142,"[-0.003724, -0.099631]",0.06451613,0.13533528
11,C=CCOc1ccc(C(O)=C2C(=O)C(C)N(C(C)C)C2=O)c(OC)c1,0.2142,"[-0.003724, -0.099631]",0.11290323,0.13533528
12,C#CCN(C)C(C)Cc1ccc(NCc2ncccc2OC)cc1,0.2142,"[-0.003724, -0.099631]",0.07751938,1.0
13,CC(=O)N(C(C)=O)c1ccc(-c2nc3ccccc3s2)cc1C,0.2142,"[-0.003724, -0.099631]",0.07142857,0.13533528
14,CCCN=C(N)C(C(=O)c1ccc(OC)cc1)=C(O)OCC,0.2142,"[-0.003724, -0.099631]",0.18018018,0.13533528
15,CC1(C(=O)NCc2cccs2)CCN1C(=O)Cc1ccc(Cl)cc1Cl,0.2142,"[-0.003724, -0.099631]",0.1015625,1.0
16,NC(=O)Nc1cc(-c2cccc(F)c2F)sc1C(=O)NC1CCCNC1,0.2142,"[-0.003724, -0.099631]",0.10769231,1.0
17,COCc1nc(N(C)C)ncc1C(=O)Nc1ccc(Cl)cc1,0.2142,"[-0.003724, -0.099631]",0.07317073,1.0
18,CCC(=O)C(OC(C)=O)C1C(C)(C)CCCC1(C)C(=O)CCc1ccoc1,0.2142,"[-0.003724, -0.099631]",0.19008264,0.13533528
19,Cc1cc(C(=O)Nc2cccc(O)c2)c(C)o1,0.2142,"[-0.003724, -0.099631]",0.06306306,1.0
20,CN(CC(=O)Nc1ccc(Cl)cc1)C(=O)C1CCCC1,0.2142,"[-0.003724, -0.099631]",0.18691589,0.13533528
21,O=C(NCC(=O)N1CCN(C(=O)c2ccccc2)CC1)c1ccc(Cl)cc1Cl,0.2142,"[-0.003724, -0.099631]",0.11940299,1.0
22,COC(=O)C1(CNC(=O)c2cc(OC)cc(OC)c2)CCN(Cc2ccc(OC)cc2)CC1,0.2142,"[-0.003724, -0.099631]",0.12328767,1.0
23,Cc1cccc(CNC(=O)c2ccc(NC(=O)C3=CSCCO3)cc2)c1,0.2142,"[-0.003724, -0.099631]",0.08148148,1.0
24,O=C(NC(=O)c1ccc2c(c1)OCO2)Nc1ccc(O)c(Cl)c1,0.2142,"[-0.003724, -0.099631]",0.07086614,1.0
25,COC(=O)c1ccc(NC(=O)CN2C(=O)CSC2=O)cc1,0.2142,"[-0.003724, -0.099631]",0.11206897,0.13533528
26,COc1ccc(CNC(=O)C2CCCN(S(=O)(=O)N3CC(C)CC(C)C3)C2)c(OC)c1,0.2142,"[-0.003724, -0.099631]",0.17164179,0.13533528
27,CN(C)CCCc1ccc(-c2n[nH]c3ccc(NC(=O)C(c4ccsc4)N4CCCC4)cc23)cc1S(C)(=O)=O,0.2142,"[-0.003724, -0.099631]",0.12345679,0.00033546
28,CCC(C)C(Nc1cccc(Cl)c1)C(=O)NC(Cc1cc2ccccc2[nH]1)C(=O)NO,0.2142,"[-0.003724, -0.099631]",0.12056738,0.13533528
29,Cc1ccc(CNC(=O)COC(=O)c2ccc(Cl)c(N)c2)cc1,0.2142,"[-0.003724, -0.099631]",0.09756098,1.0
30,Cc1ccc(NC(=S)NC(=O)c2cn(CCO)c3c(cc(Cl)c4ncccc43)c2=O)cc1,0.2142,"[-0.003724, -0.099631]",0.07333333,0.00033546
31,CCOC(=O)C(Cc1ccccc1)C(=O)Nc1nccs1,0.2142,"[-0.003724, -0.099631]",0.15929204,1.0
32,CNC(=O)c1[nH]cnc1C(=O)Nc1cccc(C)c1,0.2142,"[-0.003724, -0.099631]",0.07826087,1.0
33,O=C(Cc1ccc(O)c(O)c1)NCc1ccc(Cl)cc1Cl,0.2142,"[-0.003724, -0.099631]",0.05737705,1.0
34,CCNC(=O)Nc1ccc(C(=O)Nc2ccnc(C)c2)cn1,0.2142,"[-0.003724, -0.099631]",0.09016393,1.0
35,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3cc(F)c(C(=O)O)c(F)c3)ccc21,0.2142,"[-0.003724, -0.099631]",0.10606061,1.0
36,CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(CCl)c2)C(C)(C)C)cc1,0.2142,"[-0.003724, -0.099631]",0.09923664,1.0
37,CC(C)C(NC(=O)c1cc(Cl)ccc1O)C(=O)Nc1ccc(Cl)c(Cl)c1,0.2142,"[-0.003724, -0.099631]",0.1015625,1.0
38,CC(=O)NCC(=O)CN1CCN(CCc2ccc(-c3ncsc3N)cc2)CC1,0.2142,"[-0.003724, -0.099631]",0.11851852,1.0
39,CCOC(=O)NNc1[nH]c(-c2ccc(C)cc2)cc1C(=O)OCC,0.2142,"[-0.003724, -0.099631]",0.15,1.0
40,CCCSc1ncc(Cl)c(C(=O)Nc2ccc(OC)cc2OC)n1,0.2142,"[-0.003724, -0.099631]",0.0952381,1.0
41,Cc1ccc(CNC(=O)COC(=O)CSc2cc(C)c(Br)cc2C)cc1,0.2142,"[-0.003724, -0.099631]",0.1171875,1.0
42,CCOC(=O)C(C(=O)NCc1ccc(C)cc1)c1ncc(C(F)(F)F)cc1Cl,0.2142,"[-0.003724, -0.099631]",0.1484375,1.0
43,CCOc1ccc(C(=O)Nc2cc(Cl)c3c(c2)CNCC3)cc1C(C)=O,0.2142,"[-0.003724, -0.099631]",0.125,1.0
44,Cc1nc2ccc(F)cc2cc1C(=O)NC(C)C,0.2142,"[-0.003724, -0.099631]",0.08108108,1.0
45,CC(C)(C)c1cc(C=CC(=O)Nc2ccc(CNC(=O)C(C#N)=C3CCCCC3)cc2)cc(C(C)(C)C)c1O,0.2142,"[-0.003724, -0.099631]",0.12658228,1.0
46,COc1ccc(C)cc1NC(=O)Nc1cccc(C(=O)O)c1,0.2142,"[-0.003724, -0.099631]",0.1,1.0
47,O=C(NCCCc1ccccc1)c1cc(-c2ccc(C(F)(F)F)cc2)on1,0.2142,"[-0.003724, -0.099631]",0.04964539,0.13533528
48,CCC(=O)Nc1c(C)nn(COc2cccc(F)c2)c1C,0.2142,"[-0.003724, -0.099631]",0.1025641,1.0
49,CCOC(=O)N1CCC(NC(=O)c2ccc(C[S+]([O-])c3cccc(Cl)c3)o2)CC1,0.2142,"[-0.003724, -0.099631]",0.17692308,1.0
50,COc1ccc(C(=O)N2CCN(CC(=O)N(C)C)CC2)cc1OCCc1ccc(Cl)cc1Cl,0.2142,"[-0.003724, -0.099631]",0.12413793,1.0
51,CCOC(=O)Cc1ccccc1OC(=O)c1cc(OC)cc(OC)c1,0.2142,"[-0.003724, -0.099631]",0.128,1.0
52,Cc1ccc2[nH]c(C)c(CCNC(=O)NC3CCCCC3)c2c1,0.2142,"[-0.003724, -0.099631]",0.17094017,1.0
53,O=C(COC(=O)CNC(=O)c1ccco1)NCc1ccc(F)cc1,0.2142,"[-0.003724, -0.099631]",0.12096774,1.0
54,CCOC(=O)C1=C(C)N=C(C)C(=C(O)OCC)C1c1nc2ccccc2[nH]1,0.2142,"[-0.003724, -0.099631]",0.140625,1.0
55,COC(=O)c1cc(OC)c(OC)cc1NCC(=O)Nc1ccc(C)cc1,0.2142,"[-0.003724, -0.099631]",0.09160305,1.0
56,COc1cc(CNC(=O)Nc2nnc(C(C)C)s2)ccc1O,0.2142,"[-0.003724, -0.099631]",0.1,1.0
57,CN(Cc1nc2cc(N)ccc2[nH]1)C(=O)c1ccc2c(c1)CN(C)C(=O)C(CC(=O)O)N2,0.2142,"[-0.003724, -0.099631]",0.11111111,0.13533528
58,N#Cc1ccccc1C(=O)N1CCC(c2ccc(C(=O)NC(=N)N)cc2C(F)(F)F)CC1,0.2142,"[-0.003724, -0.099631]",0.11188811,1.0
59,CCOc1cc(C(=O)Nc2cc(OC)cc(OC)c2)ccc1OCC(=O)N1CCOCC1,0.2142,"[-0.003724, -0.099631]",0.14084507,1.0
60,CCOc1cc(C(=O)OCC(=O)Nc2cc(C)on2)ccc1OCC(C)C,0.2142,"[-0.003724, -0.099631]",0.1496063,1.0
61,O=C(Nc1ccc(F)c(F)c1)C(=O)c1c[nH]c2ccccc12,0.2142,"[-0.003724, -0.099631]",0.05555556,0.13533528
62,Cc1ccc(C)c(S(=O)(=O)N2CCN(CC(=O)NC(=O)NCc3ccco3)CC2)c1,0.2142,"[-0.003724, -0.099631]",0.12318841,1.0
63,Cc1ccc(Nc2ccc(C(=O)N3CCCC3)cn2)c(C)c1,0.2142,"[-0.003724, -0.099631]",0.10743802,1.0
64,COc1ccc(NC(=O)C(=O)Nc2ccc(C)cc2OC)cc1,0.2142,"[-0.003724, -0.099631]",0.08870968,1.0
65,Cc1cc(C)c(-c2csc(NC(=O)c3cc([N+](=O)[O-])ccc3N3CCOCC3)n2)c(C)c1,0.2142,"[-0.003724, -0.099631]",0.08783784,0.13533528
66,COc1ccc(C(=O)n2nc(-c3ccco3)nc2N)cc1OC,0.2142,"[-0.003724, -0.099631]",0.05426357,0.13533528
67,CCN1CCC(N(Cc2cccc(OC)c2)C(=O)Nc2ccc(C)cc2Cl)CC1,0.2142,"[-0.003724, -0.099631]",0.14179104,1.0
68,CC(=O)c1sc(NC(=O)COc2ccc(C(C)C)c(C)c2)nc1C,0.2142,"[-0.003724, -0.099631]",0.1147541,1.0
69,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)c2ccc(Br)o2)CC1,0.2142,"[-0.003724, -0.099631]",0.11627907,1.0
70,CC(=O)c1cc(CNC(=O)c2ccc(OP(=O)(O)O)cc2)ccc1OCC1CCCCC1,0.2142,"[-0.003724, -0.099631]",0.18382353,1.0
71,Cc1oc(S(=O)(=O)N2CCCC2)cc1C(=O)Nc1ccc(F)cc1,0.2142,"[-0.003724, -0.099631]",0.11290323,1.0
72,CCOC(=O)c1cc(-c2ccc(NC(=O)c3ccc(Cl)cc3)cc2)[nH]n1,0.2142,"[-0.003724, -0.099631]",0.10687023,0.13533528
73,COc1ccc(C)cc1NC(=O)COC(=O)C1CC1,0.2142,"[-0.003724, -0.099631]",0.16037736,0.13533528
74,CCOC(=O)N1CCC(=NNC(=O)c2ccc(C(F)(F)F)cc2F)CC1,0.2142,"[-0.003724, -0.099631]",0.15447154,0.13533528
75,Cc1ccc(C)c(N(CC(=O)NC(C)(C)C)C(=O)CNC(=O)c2cccs2)c1,0.2142,"[-0.003724, -0.099631]",0.11363636,1.0
76,CCNC(=O)C1(C)CCCN(Cc2cccc3c(OC)cc(C(=O)OCC)cc23)C1,0.2156,"[-0.003724, -0.099631]",0.19230769,1.0
77,CCN(CC(=O)NCc1cccs1)C(=O)C=Cc1cc(OC)ccc1OC,0.2157,"[-0.003846, -0.099631]",0.11363636,1.0
78,CC(C)=CCOc1cccc2ccc(N)nc12,0.2157,"[-0.003846, -0.099631]",0.04385965,1.0
79,CCN1CCN(S(=O)(=O)c2ccc(Cl)c(C(=O)N(C)Cc3cccc(Cl)c3Cl)c2)CC1,0.2157,"[-0.003846, -0.099631]",0.10638298,1.0
