BO Iteration,Selected SMILES,EI,Objective Value
0,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N2CCN(C)CC2)cc1,0.2709,0.1458
1,CCOC(=O)c1c(N)sc2c1CCN(Cc1ccccc1)C2,0.2687,0.355
2,CCOC(=O)c1c(NC(=O)CN2CCN(c3ccc(Cl)cc3)CC2)sc(C)c1C,0.2695,0.4114
3,CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(F)cc3)C2)nc1C,0.274,0.3915
4,CCOC(=O)c1ccc(NC(=O)C2CCC(CNc3c(N4CCOCC4)c(=O)c3=O)CC2)cc1,0.2783,0.4279
5,CCOC(=O)c1ccc(NC(=O)CN2C(=O)CNC2=O)cc1,0.288,0.1462
6,CCOC(=O)N1CCC(NC(=O)C2CCN(Cc3nc(-c4ccc(CC)cc4)oc3C)CC2)CC1,0.2814,0.4519
7,CCc1ccc(NC(=O)C2CCN(S(=O)(=O)c3c(C)nc(O)nc3O)CC2)cc1,0.2793,0.3794
8,CC(=O)N1CCc2c(sc(NC(=O)C3CCN(S(=O)(=O)c4cccs4)CC3)c2C(N)=O)C1,0.2809,0.378
9,CC(=O)N1c2ccc(S(=O)(=O)NCC3CCC(C(=O)NCc4ccc(C)o4)CC3)cc2CC1C,0.2813,0.4111
10,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(C(=O)NC3CCCC3)CC2)cc1,0.2841,0.1584
11,Cc1cc(Cl)ccc1NC(=O)C1CCN(c2nnc(-n3c(C)ccc3C)s2)CC1,0.281,0.1213
12,CCOC(=O)c1c(NC(=O)C2C3C=CC(CC3)C2C(=O)O)sc(C)c1CC,0.2783,0.1918
13,CCOC(=O)N1CCC(NC(=O)c2ccc(C[S+]([O-])c3cccc(Cl)c3)o2)CC1,0.2762,0.4206
14,CCOC(=O)N1CCC(NC(=O)CNS(=O)(=O)c2ccc(Br)s2)CC1,0.2793,0.1673
15,CCOC(=O)C1CCN(Cn2nc(Cc3ccc(SC)cc3)oc2=S)CC1,0.2779,0.4066
16,O=C(NCCN1CCC(C(=O)NCC2CC2)CC1)c1ccc2ccccc2c1,0.2794,0.3892
17,CCOC(=O)CSc1nc2ccccc2c(=O)n1CC1CCC(C(=O)NCc2ccco2)CC1,0.2807,0.1569
18,O=C(CCC1CCN(Cc2ccc(F)cc2)CC1)c1ccc2c(c1)CCN2,0.2794,0.3333
19,O=C(c1ccc(F)cc1)C1CCN(CCCn2nc3n(c2=O)CCCC3)CC1,0.2792,0.3665
20,CC1(C(=O)O)CCN(c2cc(N3CCCC(C(=O)NCCc4ccc(C#N)cc4)C3)nc(C(F)(F)F)n2)CC1,0.2802,0.3634
