BO Iteration,Selected SMILES,EI,Objective Value
0,CCOC(=O)CNc1nc(-c2ccncc2)nc2ccccc12,0.2887,0.4694
1,Oc1cncc2nc(-c3ccncc3)ccc12,0.2673,0.3079
2,CCOC(=O)c1cnc2c(ccc3ccccc32)c1Cl,0.2675,0.5371
3,CCOC(=O)c1ccc(-c2nn(CC)c3ccccc23)cc1,0.2559,0.5111
4,CCCCCc1nc2ccccc2c(O)c1C(=O)OCC,0.2603,0.1999
5,NC(=O)c1nn(Cc2ccc(Cl)cc2)c2ccccc12,0.2587,0.4432
6,CCOC(=O)c1ccc(-c2cn3nc(-c4ccco4)nc3c(N)n2)cc1,0.2587,0.1671
7,CCn1c2ccccc2c2cc(NC(=O)CNC)ccc21,0.2572,0.4492
8,CCOC(=O)c1cc2n(c1C)-c1ccccc1-c1ccccc1-2,0.2593,0.1896
9,O=C(Cc1noc2ccccc12)Nc1ccc(Cl)cc1,0.2581,0.4292
10,C=CCOc1ccc2ccccc2c1CNc1nc[nH]n1,0.2579,0.3979
11,CCOc1ccc2ccccc2c1C(=O)NCB(O)O,0.2598,0.1682
12,CNCc1ccc(-c2nn(C)c3ccccc23)o1,0.2563,0.4027
13,CN(C)CCNc1cc(-c2ccc(Cl)cc2)nc2ccccc12,0.2563,0.4264
14,CCCC(=O)Nc1n[nH]c2cc(-c3ccc(Cl)cc3)ccc12,0.2572,0.4318
15,Cn1ncc2c(NCc3ccc(Cl)cc3)ncnc21,0.2581,0.3581
16,Oc1c(Cl)c2nccnc2c2ccccc12,0.257,0.414
17,O=C(Nc1ccc(Cl)cn1)c1ccc2nccnc2c1,0.2579,0.3667
18,C=CCn1c(SCC(=O)Nc2cccnc2Cl)nnc1-c1ccc(Cl)cc1,0.2583,0.3863
19,Fc1ccccc1C=Cc1ccc(Cl)cc1,0.2589,0.1423
20,COc1cc(C(N)=O)c2ncnc(NC(CN(C)C)c3ccc(Cl)cc3)c2c1,0.2576,0.428
21,COc1ccc(-c2cc3ncccc3c(NCCCN)n2)cc1,0.2596,0.4247
22,CN(C)CCCNC(=O)c1cccc2c1ncc1ccccc12,0.2604,0.4378
23,CN(CCCNc1ccnc2cc(Cl)ccc12)C(=O)c1ccc(Br)cc1,0.2623,0.4019
24,CCCNc1ncc(-c2ccncc2-c2cccc(Cl)c2)s1,0.2618,0.3946
25,Cc1c(Cl)cccc1NC(=O)CCNc1ccc(C#N)cn1,0.2628,0.1638
26,COc1ncccc1C(C)c1c(CCN(C)C)sc2ccccc12,0.2623,0.4342
27,CN(C)CCCn1c2cc(=O)c3ccccc3c-2nc2cc(Cl)ccc21,0.263,0.1599
28,CC(C)Cc1cc(NC(=NC(C)(C)C)Nc2nccs2)c2ccccc2n1,0.2616,0.3878
29,CCC(=O)NC(c1cccs1)c1ccc2cccnc2c1O,0.2619,0.3963
30,O=C(Nc1ncc(Cc2cccc3ccccc23)s1)C(F)(F)F,0.262,0.393
31,Nc1ccc(NC(=O)Nc2ccnc3ccccc23)cc1,0.2624,0.3996
32,O=C(COc1nncc2ccccc12)Nc1ccc(F)c(F)c1,0.2628,0.4149
33,COc1ncnc2sc(-c3ccccc3)cc12,0.2622,0.4064
34,COc1ccccc1Nc1ncnc2cc(N)ncc12,0.2636,0.417
