BO Iteration,Selected SMILES by EI,f1,f2,R2 Indicator
0,CC(C)(C)c1ccc(Cn2ccc(CCCCC(=O)NO)n2)cc1,0.152,0.1353352832366127,0.2614
1,CCCCc1ncc(C=C2C(=O)N(CCCC)C(=O)N2Cc2ccsc2)n1Cc1ccc(C(=O)O)cc1,0.14465408805031446,0.1353352832366127,0.2614
2,CC(=O)N1CCCC1(Cc1ccc(F)cc1)C(=O)OCc1ccccc1,0.1984126984126984,1.0,0.2221
3,CC(NC(=O)C1(Cc2ccccc2)CCN1C(=O)OCc1ccccc1)C(N)=O,0.1865671641791045,1.0,0.2221
4,CC(C)(C)NC(=O)C1CCCN1C(=O)C(=O)C(Cc1ccccc1)NC(=O)OCc1ccccc1,0.18243243243243243,1.0,0.2221
5,COc1ccc(CC(NC(=O)C2(NC(=O)C(SC(C)=O)C(C)C)CCCC2)C(=O)OCc2ccccc2)cc1,0.18471337579617833,1.0,0.2221
6,NC(=O)C1(Cc2ccc(OCc3ccccc3)cc2)CC1C(=O)NO,0.2032520325203252,1.0,0.2153
7,CC(C)CC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(Cc1ccccc1)C(N)=O,0.16352201257861634,1.0,0.2153
8,COc1ccc(CCNC(=O)C(=O)C(CCCN=C(N)N)NC(=O)C2CCN3CCC(N)(Cc4ccccc4)CN23)cc1,0.16374269005847952,0.1353352832366127,0.2153
9,CCOC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,0.2641509433962264,0.00033546262790251185,0.2321
10,CC(=O)N(CCc1ccccc1)c1ccc2c(c1)C1CC2CCN1C(=O)OCc1ccccc1,0.2054794520547945,0.00033546262790251185,0.2321
11,CC(C)C(NC(=O)C(S)Cc1ccccc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O,0.16546762589928057,0.1353352832366127,0.2321
12,CC(C)CC(NC(=O)C=Cc1ccc(OP(=O)(O)O)cc1)C(=O)N1CCCC1C(=O)NC(COCc1ccccc1)COC(N)=O,0.19186046511627908,1.0,0.2321
13,CC(NC(=O)OCc1ccccc1)C(=O)NC(C)C(=O)NN(CC(N)=O)C(=O)C=CC(=O)N1CCCc2ccccc21,0.16167664670658682,1.0,0.2321
14,N=C(N)N1CCCC(NC(=O)CNC(=O)C(CCNC(=O)c2cncc(Br)c2)NC(=O)OCc2ccccc2)C1O,0.17073170731707318,1.0,0.2321
15,NC(=O)C(=O)C(Cc1ccccc1)NC(=O)C1CCN(C(=O)C=Cc2ccncc2)CC1,0.14285714285714285,1.0,0.2321
16,Cc1cnc(C(=O)NC(Cc2nc(I)n(Cc3ccccc3)c2I)C(=O)N2CCCC2C(N)=O)cn1,0.18666666666666668,0.1353352832366127,0.2321
17,CCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccncc1,0.20279720279720279,0.1353352832366127,0.2321
18,O=C(Nc1ccccc1)C1CCCN(C(=O)c2ccc(F)cc2)C1,0.15873015873015872,1.0,0.2321
19,NC(CCNCc1ccccc1OCc1ccccc1)C(=O)N1CCCCC1,0.16911764705882354,1.0,0.2321
20,O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc(Cl)cc1)N1CCC2(O)CCCCC2C1,0.14285714285714285,0.1353352832366127,0.2321
21,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccccc2SCC(=O)N2CCCC2)cc1,0.18309859154929578,1.0,0.2321
22,CSc1ccc(C(=O)C(=O)c2ccccc2C(=O)N2CCCCC2)cc1,0.16153846153846155,1.0,0.2321
23,CCOc1cc(C(=S)N2CCCC2)ccc1OCc1ccccc1,0.18548387096774194,1.0,0.2321
24,O=C(COc1cccc(F)c1C(=O)N1CCCCC1)NC(CO)Cc1ccccc1,0.17266187050359713,1.0,0.2321
