BO Iteration,Selected SMILES by EHVI,f1,f2,f3,R2 Indicator
0,CCCNc1ccccc1-c1ccccc1NC(=O)Cc1ccc(Cl)cc1,6.5151227918864774e-06,0.2515479876160991,0.13262217207363858,0.5668122061153386
1,Cc1cc(O)nc(SCC(=O)c2ccc(C(C)C)cc2)n1,0.026690915898163393,0.14794168096054888,1.0,0.5668122061153386
2,COc1ccc(C2=C(c3ccc(OC)c(OC)c3)C(=O)N(Cc3cc(OC)c(OC)c(OC)c3)C2=O)cc1OC,1.0,0.1298219584569733,0.9746529890514395,0.5668122061153386
3,COc1cc(CCC(=O)Nc2ccc(C)c(S(=O)(=O)N3CCCCCC3)c2)cc(OC)c1OC,1.0,0.22333333333333333,0.9877790338470771,0.5247449605739433
4,CC(=O)c1ccc(N2CCN(S(=O)(=O)c3cc(-c4onc(C)c4C)ccc3C)CC2)cc1,0.8210329798462797,0.25278940027894004,1.0,0.4980500661504204
5,COc1cccc(OC)c1-c1ccc(CC(Nc2ccc(S(=O)(=O)N3CCCC3)cc2)C(=O)O)cc1,1.0,0.2820427236315087,0.9659812981984875,0.4215926249571367
6,Cc1ccc(NC(=O)c2c(F)cccc2Cl)cc1S(=O)(=O)N1CCOCC1,0.3602271407382132,0.19244868035190615,1.0,0.4215926249571367
7,COc1cc(CN2CCCC(C(=O)c3ccc(SC)cc3)C2)cc(Cl)c1O,0.0003058962701251275,0.2918679549114332,0.6843262509520082,0.4215926249571367
8,Cc1ccc(NC(=O)CSc2nc(-c3ccc(C)cc3)nc3ccc(Cl)cc23)cc1,0.0020973681125556727,0.16644021739130435,0.07135881956624782,0.4215926249571367
9,CCCCc1ncc(C=C2C(=O)N(CCCC)C(=O)N2Cc2csc(C)n2)n1Cc1ccc(C(=O)O)cc1,1.0,0.2534762456546929,0.4060902005556349,0.4215926249571367
10,COc1cc(-c2cc(-c3ccc(N4CCNCC4)cc3)cnc2N)cc(OC)c1OC,0.7185754992496214,0.22333795013850413,1.0,0.4215926249571367
11,CC(=O)c1ccc(NC(=O)C2(c3ccccc3)CCOCC2)cc1,0.002514201552477608,0.29802744425385935,1.0,0.4215926249571367
12,COc1cc(-c2ncoc2-c2ccc(OC)c3c2ncn3C)cc(OC)c1OC,0.6531395281623713,0.09750639386189258,1.0,0.4215926249571367
13,COc1cc(C(=O)N2CCN(C(=S)c3cccnc3)CC2)cc(OC)c1OC,0.03521495248741759,0.20926756352765322,1.0,0.4215926249571367
14,CC(C)c1ccc(NC(=O)c2cn(C3CCCC3)c(=O)c3c2c2ccccc2n3C)cc1,0.0031203674863818564,0.2744310575635877,0.13971816395762063,0.4215926249571367
15,CCOC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(O)c(N)c1,1.0,0.13868876080691644,1.0,0.4215926249571367
16,COc1ccc(Br)cc1CCC(=O)c1cc(OC)c(OC)c(OC)c1,0.001528298123906664,0.132660687593423,0.9562838459597952,0.4215926249571367
17,COc1cc(O)c2c(=O)c(OC(=O)c3cc(OC)c(OC)c(OC)c3)c(-c3ccc(OC)c(OC)c3)oc2c1,1.0,0.09842519685039369,0.9091706396818761,0.4215926249571367
18,COc1cc2c(=O)c(C(=O)c3ccc(C)cc3)cn(CC3CC3)c2cc1OC,0.0051358778293383025,0.23947750362844702,1.0,0.4215926249571367
19,CCOc1ccc(NS(=O)(=O)c2cc(C(=O)N3CCCC3)ccc2Cl)cc1,0.36022714073821244,0.22519083969465647,1.0,0.4215926249571367
20,COc1ccc(CCNC(=O)CN2C(=O)CSc3ccc(S(=O)(=O)N4CCOCC4)cc32)cc1OC,1.0,0.2162247474747475,1.0,0.42088344242986764
21,Cc1nc(COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1,0.4058285496796391,0.17769607843137253,1.0,0.42088344242986764
22,COc1ccc(S(=O)(=O)N2CCCN(S(=O)(=O)c3ccc(OC)cc3C)CC2)c(C)c1,1.0,0.2272727272727273,1.0,0.42018977788083867
23,COc1ccc(OC)c(Nc2ccc(C(=O)O)cc2[N+](=O)[O-])c1,1.0,0.15302066772655007,1.0,0.42018977788083867
24,COc1ccc(NC2=NS(=O)(=O)c3cc([N+](=O)[O-])ccc32)cc1OC,1.0,0.12834821428571427,1.0,0.42018977788083867
25,CCOc1ccc(-n2c(CCCCc3nnc(SC(=O)N(CC)CC)n3-c3ccc(OCC)cc3)nnc2SC(=O)N(CC)CC)cc1,1.0,0.21148036253776437,0.004060078461754121,0.42018977788083867
