BO Iteration,Selected SMILES by EHVI,f1,f2,R2 Indicator
0,CN(Cc1nc2ccccc2c(=O)[nH]1)Cc1nnc(-c2ccccc2)o1,0.027972027972027972,0.00033546262790251185,0.19004999841448855
1,CCSC1=NCCN1S(=O)(=O)c1ccc2ccccc2c1,0.06504065040650407,1.0,0.19004999841448855
2,CCCCNc1ncc2c(-c3ccc(CN4CCN(C)CC4)cc3)cn(C3CCC(O)CC3)c2n1,0.12337662337662338,0.1353352832366127,0.19004999841448855
3,N#CCSc1nc2ccccc2o1,0.009259259259259259,1.0,0.19004999841448855
4,N#CCc1ccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)nc1,0.04081632653061224,0.1353352832366127,0.19004999841448855
5,O=C(O)c1ccc(S(=O)(=O)N2CCN(c3ccccn3)CC2)cc1,0.09448818897637795,1.0,0.19004999841448855
6,CCON=C1C=C(C#Cc2ccccn2)CCC1F,0.07692307692307693,0.1353352832366127,0.19004999841448855
7,COc1ccccc1N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,0.06923076923076923,1.0,0.19004999841448855
8,Cc1nc(COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1,0.13008130081300814,1.0,0.15022949073077985
9,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(Cc2ccccc2)CC1,0.0763888888888889,1.0,0.15022949073077985
10,O=C(CN1CCOCC1)n1c2ccccc2c2ccccc21,0.07086614173228346,0.1353352832366127,0.15022949073077985
11,O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCN(CC(O)COCc2ccccc2)CC1,0.0896551724137931,1.0,0.15022949073077985
12,O=P(O)(O)C(O)(c1cccc(-c2ccccc2)c1)P(=O)(O)O,0.023622047244094488,1.0,0.15022949073077985
13,N#Cc1ccccc1N1CCN(CCCN2CC(=O)N3CCCC3C2=O)CC1,0.10144927536231885,0.1353352832366127,0.15022949073077985
14,O=C(CN1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1)Nc1cccc(F)c1,0.09027777777777778,1.0,0.15022949073077985
15,Cc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1[N+](=O)[O-],0.08695652173913043,0.1353352832366127,0.15022949073077985
16,CC1(C)OC(S)=Nc2ccc(-c3cccc(F)c3)cc21,0.016,1.0,0.15022949073077985
17,CC(C)C(=O)Nc1nc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1,0.11627906976744186,1.0,0.15022949073077985
18,O=c1cc(CN2CCN(S(=O)(=O)c3ccccc3)CC2)nc2ccc(Cl)cn12,0.06338028169014084,0.1353352832366127,0.15022949073077985
19,Cc1ccccc1-n1cccc1CN1CCN(c2noc3ccccc23)CC1,0.047619047619047616,0.00033546262790251185,0.15022949073077985
20,Cc1cc(F)ccc1NC(=O)CCc1ccc(S(=O)(=O)N2CCOCC2)cc1,0.10294117647058823,1.0,0.15022949073077985
21,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)C(C)N(C)Cc1sccc1C,0.0916030534351145,1.0,0.15022949073077985
22,CCOC(=O)N1CCN(S(=O)(=O)c2ccc(OC)c(Br)c2)CC1,0.15517241379310345,0.1353352832366127,0.141187281264982
23,O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCc1cccc(C(F)(F)F)c1,0.1292517006802721,1.0,0.141187281264982
24,O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccs1,0.025,1.0,0.141187281264982
25,Cc1cc(NC(=O)c2cccc(S(=O)(=O)N3CCCCCC3)c2)no1,0.11811023622047244,1.0,0.141187281264982
26,CC(C)NS(=O)(=O)c1ccc(NC2CCN(CC(O)=Nc3ccccc3)CC2)c([N+](=O)O)c1,0.13986013986013987,1.0,0.13061513433790461
27,CC(CN1CCCCC1)OC(=O)c1cc2ccccc2o1,0.13793103448275862,1.0,0.13061513433790461
28,CC(NC(=O)N1CCCCCC1)c1ccc(S(N)(=O)=O)cc1,0.14782608695652175,0.1353352832366127,0.13061513433790461
29,Cc1ccc(S(=O)(=O)Nc2cc(C(F)(F)F)ccc2N2CCOCC2)cc1C,0.07246376811594203,1.0,0.13061513433790461
30,Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2N2CCCC2)cc1,0.12403100775193798,1.0,0.13061513433790461
31,CC1(C)Cc2ccccc2-c2nnc(SCC(=O)Nc3nc4ccccc4s3)n21,0.06164383561643835,0.00033546262790251185,0.13061513433790461
32,O=C(NCCCN1CCOCC1)C1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,0.12857142857142856,0.1353352832366127,0.13061513433790461
33,Cc1cccc(N(Cc2ccccc2)C(=O)c2cccc(S(=O)(=O)N3CC(C)OC(C)C3)c2)c1,0.0915032679738562,0.1353352832366127,0.13061513433790461
34,CC(CCn1ccc(-c2ccc3ccccc3c2)cc1=O)(C(=O)NO)S(C)(=O)=O,0.08633093525179857,0.1353352832366127,0.13061513433790461
35,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,0.10273972602739725,0.1353352832366127,0.13061513433790461
36,CC(C)(C)c1ccc(C2(C(=O)NCCS(N)(=O)=O)CC2)cc1,0.11206896551724138,0.1353352832366127,0.13061513433790461
37,Cc1ccc(C)c(NC(=O)CSc2n[nH]c(-c3ccncc3)n2)c1,0.05263157894736842,0.1353352832366127,0.13061513433790461
38,O=S(=O)(c1ccc(OC(F)(F)F)cc1)N1CCCC(c2ccccc2)C1,0.08270676691729323,1.0,0.13061513433790461
39,Cc1ccccc1NS(=O)(=O)c1ccc(C)c(NS(C)(=O)=O)c1C,0.0546875,1.0,0.13061513433790461
40,CC(C)C(NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1)P(=O)(O)O,0.078125,1.0,0.13061513433790461
41,CC(=O)N1CCN(CC(C)NC(=O)c2cc(-c3nccs3)cc(-c3ccc(C)cc3F)c2)CC1,0.12080536912751678,0.1353352832366127,0.13061513433790461
42,CC(=O)NC(CC(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1)c1ccccc1,0.1386861313868613,1.0,0.13061513433790461
43,CC(C(=O)NO)N(Cc1ccccc1[N+](=O)[O-])C(=O)NS(=O)(=O)c1ccc(Cl)cc1,0.09352517985611511,1.0,0.13061513433790461
44,O=C(CS(=O)(=O)c1ccc(F)cc1)NCc1ccccc1,0.06557377049180328,1.0,0.13061513433790461
45,COc1ccccc1CNC(=O)Cn1nc(-c2ccc(F)cc2)oc1=O,0.07407407407407407,0.1353352832366127,0.13061513433790461
46,O=C(CNc1cccc(Br)c1)Nc1ccccc1C(=O)O,0.08333333333333333,1.0,0.13061513433790461
47,Cc1nc2cc(NS(=O)(=O)c3ccccc3)ccc2n1C,0.04838709677419355,0.1353352832366127,0.13061513433790461
48,CC(C)(C)c1ccc(CC(=O)N2CCC2(C)C(=O)NS(=O)(=O)c2cccc(F)c2)cc1,0.10714285714285714,1.0,0.13061513433790461
49,CC(=O)N1c2ccc(S(=O)(=O)NCC3CCC(C(=O)NCc4ccc(C)o4)CC3)cc2CC1C,0.16901408450704225,1.0,0.10348741498670234
50,Cc1ccc(S(=O)(=O)N2CCC(C(=O)OCC(=O)NC(C)c3ccc(F)cc3)CC2)cc1C,0.17391304347826086,1.0,0.10059353705961346
51,COC(C(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)c1ccccc1,0.1297709923664122,1.0,0.10059353705961346
52,CC1(CS(=O)(=O)N2CCC(Oc3ccc(OCc4cccc(F)c4)cc3)CC2)NC(=O)NC1=O,0.09868421052631579,1.0,0.10059353705961346
53,N=C(N)N1CCCC(CNC(=O)CNS(=O)(=O)c2ccc3ccccc3c2)C1,0.12781954887218044,1.0,0.10059353705961346
54,CN(C)CCC(NS(=O)(=O)c1ccc2ccccc2c1)c1ccc(Cl)cc1,0.06521739130434782,0.1353352832366127,0.10059353705961346
55,CCc1cccc(NC(=O)CSC2=NS(=O)(=O)c3ccccc32)c1,0.07751937984496124,1.0,0.10059353705961346
56,CCS(=O)(=O)N1CCCc2ccc(NS(=O)(=O)CC(F)(F)F)cc21,0.10655737704918032,0.1353352832366127,0.10059353705961346
57,O=C(NCc1cccs1)C1CCCN1S(=O)(=O)c1ccccc1F,0.12096774193548387,1.0,0.10059353705961346
58,O=C(CNc1ccc(C(F)(F)F)cc1)Nc1cccc(S(=O)(=O)N2CCCC2)c1,0.10144927536231885,1.0,0.10059353705961346
59,CCOC(=O)C1(c2ccccc2)CCN(S(=O)(=O)c2ccc(C)cc2)CC1,0.13953488372093023,1.0,0.10059353705961346
60,CCN1CCN(C(=O)CCc2ccc(S(=O)(=O)NCCc3ccccc3)cc2)CC1,0.11347517730496454,1.0,0.10059353705961346
61,CNC(=O)c1ccccc1NC(=O)C1CC(=O)N(C(C)C)C1,0.14912280701754385,0.1353352832366127,0.10059353705961346
62,O=C(O)Cc1cc(Cl)c(Oc2ccc(C(=O)NC3CCC3)cc2NS(=O)(=O)c2ccc(OC(F)(F)F)cc2Cl)cc1F,0.1144578313253012,0.1353352832366127,0.10059353705961346
63,S=C(Nc1ccc(Br)cc1Cl)NC1CCN(Cc2ccccc2)CC1,0.08333333333333333,1.0,0.10059353705961346
64,O=C(c1ccc(NS(=O)(=O)c2cccc(F)c2)cc1)N1CCCCC1,0.109375,1.0,0.10059353705961346
65,O=C(COc1ccc(S(=O)(=O)N2CCCC2)cc1)NCc1ccccn1,0.12307692307692308,1.0,0.10059353705961346
66,Cc1cccc(CS(=O)(=O)NCc2ccc(N3CCCC3)cc2)c1,0.10236220472440945,1.0,0.10059353705961346
67,O=S(=O)(NCc1cccs1)c1cccc(S(=O)(=O)N2CCCCC2)c1,0.10077519379844961,1.0,0.10059353705961346
68,O=C(OCC(=O)c1ccc[nH]1)c1ccc(S(=O)(=O)N2CCCCC2)cc1,0.14173228346456693,1.0,0.10059353705961346
69,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)C(CCC(=O)N2CCN(C)CC2)C(=O)NO)cc1,0.14838709677419354,1.0,0.10059353705961346
70,O=C(NCc1ccccc1)C(=O)NCC1OCCN1S(=O)(=O)c1ccc2c(c1)OCCO2,0.10884353741496598,1.0,0.10059353705961346
71,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)CCC3)cc1,0.07377049180327869,1.0,0.10059353705961346
72,O=C(O)c1ccc(NCc2ccccc2)cn1,0.061946902654867256,1.0,0.10059353705961346
73,O=C(CN(Cc1cccs1)S(=O)(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1)Nc1ccccc1,0.1032258064516129,0.1353352832366127,0.10059353705961346
74,COc1cccc(CNC(=O)COC(=O)c2ccc(S(C)(=O)=O)c([N+](=O)[O-])c2)c1,0.10294117647058823,1.0,0.10059353705961346
75,CC(=O)c1ccc(S(=O)(=O)NCCC(=O)OCC(=O)NCCc2ccccc2)cc1,0.11510791366906475,1.0,0.10059353705961346
76,O=C(CN(Cc1cccs1)C(=O)CNS(=O)(=O)c1ccccc1)NC1CCCC1,0.16666666666666666,1.0,0.10059353705961346
77,O=C(c1ccc(CNS(=O)(=O)c2ccc(Br)cc2)cc1)N1CCCCC1,0.11538461538461539,1.0,0.10059353705961346
78,CN(CC(=O)NCc1ccccc1F)S(=O)(=O)c1ccc(Cl)cc1,0.0703125,1.0,0.10059353705961346
79,NS(=O)(=O)c1ccc(NC(=O)CSc2ccccn2)cc1,0.056910569105691054,1.0,0.10059353705961346
80,CC(=O)c1cccc(-c2ccc(NC(=O)CCCCN3CCCCC3)cc2)c1,0.14285714285714285,1.0,0.10059353705961346
81,Cc1ccc(S(=O)(=O)NC(Cc2ccccc2)C(=O)N2CCCC2C(=O)O)cc1,0.1968503937007874,1.0,0.11199170003924104
82,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,0.11023622047244094,1.0,0.11199170003924104
83,COc1ccc(NC(=O)CN2CCC(NC(=O)c3ccco3)CC2)c([N+](=O)[O-])c1,0.1417910447761194,1.0,0.11199170003924104
84,Cc1ccc(NC(=O)CCCOc2ccccc2)cc1S(=O)(=O)N1CCOCC1,0.11594202898550725,1.0,0.11199170003924104
85,NS(=O)(=O)c1ccc(NC(=O)NC(Cc2ccccc2)C(=O)O)cc1,0.10236220472440945,1.0,0.11199170003924104
