BO Iteration,Selected SMILES,f1
0,COc1ccc(CNC(=O)ONC(=O)CC23CC4CC(CC(C4)C2)C3)cc1,0.007250689718068697
1,Cc1ccccc1Nc1c([N+](=O)[O-])ccc2nonc12,0.4064694223485302
2,Cc1cc(NC(=O)NCCN2CCC(NS(=O)(=O)c3cccc(Br)c3)C2)c2ccccc2n1,0.15222959590461702
3,COc1ccc(N2C(=O)C3C4c5ccccc5C(C=Nc5ccc(C)cc5C)(c5ccccc54)C3C2=O)cc1,5.669729340929657e-12
4,O=C(C=Cc1ccccc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,0.13383580530379893
5,N=C1NC(c2ccccc2)=C(CC(=O)O)C(c2ccc(Cl)cc2)N1,0.45643546458763845
6,CN1CCC(C(c2ccc(Cl)cc2)N2CCN(C(=O)CC(c3ccccc3)c3ccccc3)CC2)CC1,0.006728830842143342
7,CCCC1(CO)CCCN(C(=O)CNC(N)=O)C1,0.0062123301335247445
8,CC(Sc1nnc(-c2ccccc2F)n1N)C(=O)NCC1CCCO1,0.40663783728111363
9,CC1C=CC(=O)C(O)C(O)CC=Cc2cc(NCCNCCO)cc(O)c2C(=O)OC1C,0.13271068495285177
10,CC(OCC(O)CNC(C)(C)Cc1ccc2ccccc2c1)c1ccccc1C(=O)O,0.4240944648399854
11,CCOC(=O)C1=C(CS(=O)(=O)c2ccccc2)NC(=O)NC1c1ccccc1OCC,0.5773502691896257
12,CC(=O)NC1C(NC(=N)N)C=C(C(=O)NCc2cccc(Cl)c2)OC1C(O)C(O)CO,0.1501861529550426
13,CC(=O)c1ccc(NC(=O)C(C)OC(=O)COc2ccc(C#N)cc2)cc1,0.14729212154241186
14,CSc1nnc(C2CCN(CC(=O)Nc3ccccc3N3CCOCC3)CC2)n1C,0.14097663715509215
15,Cc1cc(C)c2c(Cn3cc(COc4ccc(OCc5cn(Cc6cc(=O)oc7cc(C)cc(C)c67)nn5)cc4)nn3)cc(=O)oc2c1,4.082079828040153e-08
16,CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1,0.1415968629264409
17,Cc1cc(C)c(CNC(=O)c2cc(-c3cnn(CCN4CCOCC4)c3)cc(N(C)C3CCNCC3)c2C)c(=O)[nH]1,0.006717194677673465
18,Cc1ccc(-c2nn(-c3ccccc3)cc2C(=O)Nc2ccc(C(=O)O)cc2)cc1,0.15286347879322798
19,O=C(Cc1ccccc1)N1CCCC(c2nc(-c3cccs3)no2)C1,0.1395710523271006
20,CC(NC(=O)C(CC(=O)OCc1ccccc1)NC(=O)C(=O)NO)c1ccccc1,0.15397522783219367
21,CN1C(=O)C(C(N)=O)CC1c1cccnc1,0.13838793056453932
22,CS(=O)(=O)N1CCN(c2ccccc2NC(=O)c2cc(Br)ccc2Cl)CC1,0.4222494211285681
23,COc1ccc(CC2NC(=O)C=CCC(C(C)C3OC3c3ccc(C(=O)c4ccccc4)cc3)OC(=O)C(CC(C)C)OC(=O)CCNC2=O)cc1,0.007063236785864828
24,COCC1CCN(c2cc(C3CN(C)CCO3)nc(C)n2)CC1,0.30265996338319096
25,Cn1ccc(NC(=O)CN2CCC(Oc3cnccn3)CC2)n1,0.3281650616569468
26,COc1ccc(SC(=O)C(C)(C)C)c(NC(=O)C2(C)CCCCC2)c1,0.14285552646097244
27,CCOP(=O)(OCC)C(C#N)=Cc1cnc(C)[nH]1,0.006985310591415905
28,CCCNC(=O)c1ncn2c1CN(CC(C)C)S(=O)(=O)c1ccccc1-2,0.44901325506693723
29,COc1cc(-c2cccc(Cl)c2)cc2c1OCCN(Cc1cccnc1)C2,0.14107532574761605
30,O=C(O)COCCCCc1ccc(CCCc2ccccc2)s1,0.16038980188624272
31,O=c1[nH]c(-c2ccccc2)nc2cn(Cc3ccccc3)nc12,0.14285552646097244
32,OC1c2cc(F)c(F)cc2CC1N1CCC(c2cccc3c2OCCO3)CC1,0.0061480570882878425
33,CCC(=O)N1CCC2(COCc3cnc(N4CCOCC4)nc32)C1,0.09939058218709647
34,CC1(C(=O)NCCCNC(=O)C2(C)CC2(Br)Br)CC1(Br)Br,0.11184804050464586
35,NC(=O)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1,0.39791121287711073
36,CCC(CP(=O)(O)CCC(N)C(=O)O)C(=O)O,4.30159432170554e-05
37,Cc1csc(NC(=O)C2C(C(=O)NCCCCN3CCCC3)C3C=CC2C32CC2)n1,0.006453188093276718
38,CCc1nccc(NS(=O)(=O)c2ccc3c(ccc(=O)n3-c3cc(F)c(Br)cc3OC)c2)n1,0.13478059886503627
39,CC(C)CCN1CCc2c(C(=O)N(C)Cc3ccccn3)nn(C)c2C1,0.4034732923929645
40,CSCCC(N)C(=O)OCC1OC(CCn2nnc(-c3ccccc3)n2)C(O)C1O,0.41702882811414954
41,NC(N)=NNC(=C1N=c2ccc([N+](=O)[O-])cc2=NC1=O)C(O)c1ccco1,0.36650833306891567
42,CN=C(S)C1(c2cccnc2)CCCCC1CCNS(=O)(=O)c1ccc([N+](=O)[O-])cc1,0.34006802040680234
43,O=C(O)c1cc(S(=O)(=O)Nc2ccc(-c3ccccc3)cc2)c2ccccc2c1O,0.13806269408538452
44,Cc1ccc(C(=O)NC2CCCCCC2)o1,0.1209580151580918
45,CCC(C(=O)Nc1cccc(-c2nc3cccnc3s2)c1C)c1ccccc1,0.15568929059687278
46,Cc1sc(-c2ccncc2)nc1OC(=O)c1ccccc1,0.4354941703556927
47,CC(C)(C)c1ccc2c(c1)CNCCNCc1cc(C(C)(C)C)ccc1OCC1(CO2)COc2ccc(C(C)(C)C)cc2CNCCNCc2cc(C(C)(C)C)ccc2OC1,3.240900230907823e-05
48,COC(=O)NN=Cc1c(-c2ccccc2)no[n+]1[O-],0.15615612609919788
49,CC(C)(C)c1ncc(C(=O)Nc2cc(O)cc(Cl)c2)nc1Cl,0.14368147145503243
50,COc1ccc(OC)c(S(=O)(=O)N2CCCC(C)C2)c1,0.1414428695552413
51,CC1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc(N2CCCC2)c1,0.12014892236403411
52,CC(NP(=O)(OCC1(N=[N+]=[N-])OC(n2ccc(=O)[nH]c2=O)C(O)C1O)Oc1ccccc1)C(=O)OC(C)(C)C,0.4069460597442876
53,CC(C)OCc1ccc2n1C=C(N1CCN(C)CC1)c1ccccc1S2,0.14729212154241186
54,COc1cc(C(C)=O)ccc1OCCCN1CCC(C(c2ccc(F)c(F)c2)c2ccc(F)c(F)c2)CC1,0.14587368708705856
55,C=CC(O)=Nc1cccc(F)c1Nc1cc(N(C)C(O)=Nc2c(Cl)c(OC)cc(OC)c2Cl)ncn1,0.3877199986918664
56,CN1CCc2nc(C(=O)Nc3ccccc3CNC(=O)c3ccc(Cl)cc3)sc2C1,0.16026249826916444
57,O=C(O)c1ccccc1C(=O)N1CC=C(c2ccccc2)CC1,0.4032389192727559
58,CCOC(=O)C1=C(c2ccccc2)c2ccc(OC)cc2C1=O,0.5393598899705936
59,O=C1Nc2ccc(F)cc2C1=NNC(=S)Nc1ccc(Cl)cc1,0.3810003810005715
60,CC(C)c1noc(C(C)N2CCN(Cc3noc(C(C)(C)C)n3)CC2)n1,0.23819653367016547
61,O=C1CN(Cc2cc(-c3ccc(Cl)s3)on2)CCN1CCCCCCCCCCN1CCN(Cc2cc(-c3ccc(Cl)s3)on2)CC1=O,3.932163319378613e-05
62,CN(C)CCNc1cccc2sc3ccc(O)cc3c(=O)c12,0.38569460791993504
