BO Iteration,Selected SMILES,f1,f2
0,O=C(NCCNC1CCCCC1)c1ccco1,0.17475728155339806,0.1353352832366127
1,Cc1ccccc1CCN1CCCC(CN(C)C(=O)C(=O)c2ccco2)C1,0.14728682170542637,1.0
2,O=C(CCC1CCCN(C(=O)c2ccco2)C1)NCc1ccccc1F,0.140625,1.0
3,OCC1CCCN(C(S)=NCCc2ccccc2)C1,0.11504424778761062,0.1353352832366127
4,Cc1ccccc1CC1(CO)CCCN(C(=O)c2ccoc2)C1,0.10483870967741936,1.0
5,Cc1ccccc1CNC(=O)c1cncc(N2CC3CNCC3C2)c1,0.1076923076923077,1.0
6,Cc1ccccc1CN(C)C(=O)CN1CCCC(Cn2cncn2)C1,0.12598425196850394,1.0
7,CN(C)S(=O)(=O)N1CCCC(c2cccc(Cc3ccccc3F)n2)C1,0.09923664122137404,1.0
8,Cc1ccccc1COc1ccc2c(c1)C1(C)CCCC(C)(C(=O)O)C1CC2,0.13636363636363635,1.0
9,COCC12CCOC1CCN(C(=O)Cc1ccccc1C)C2,0.13559322033898305,0.1353352832366127
10,CN(Cc1ccco1)C(=O)C1CCC(=O)N(CCc2cccc(F)c2)C1,0.10687022900763359,1.0
11,Cc1nccc(CNC(=O)N(CCCO)C2CCc3ccccc32)n1,0.1,1.0
12,Cc1ccccc1-c1nc(CN2CCCC(C(=O)NCc3cccnc3)C2)c(C)o1,0.11267605633802817,0.1353352832366127
13,CC(C)N1CCC(Oc2ccc(OCc3ccccc3Cl)c(CN(C)C)c2)C1,0.10294117647058823,1.0
14,CCCCS(=O)(=O)N1CCC(N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,0.0945945945945946,1.0
15,Cc1cc(OCCCC(=O)NC2(C(N)=O)Cc3ccccc3C2)ccc1Cl,0.10526315789473684,1.0
16,O=C1C2CC=CCC2C(=O)N1Cc1ccccc1Cl,0.06837606837606838,0.1353352832366127
17,CCOC(=O)C=CC(=O)Nc1ccccc1CCCN1CCC23CCCCC2C1Cc1ccc(O)cc13,0.20270270270270271,1.0
18,CC1C2Cc3ccc(O)cc3C1(C)CCN2Cc1ccco1,0.08943089430894309,1.0
19,C#CCN(CCCCN1CCN(c2ccccc2)CC1)C1CCc2ccc(O)cc2C1,0.08,1.0
20,CCn1c(C(=O)NCCCN2CCc3ccccc3C2)cc2sccc21,0.09701492537313433,0.1353352832366127
21,Cc1ccc(Cl)cc1C(=O)N1CCC2(CC1)c1ccccc1C(N)C2O,0.09090909090909091,1.0
22,Cc1nccn1CCC1CCCCN1Cc1ccc(O)cc1Cl,0.12295081967213115,1.0
23,CC1CCCN1CCc1ccc2ccccc2c1,0.08771929824561403,1.0
24,CN(CC(=O)N1CCN(C(=O)c2cccc(Cl)c2)CC1CN1CCCC1)c1ccc(Cl)c(Cl)c1,0.12080536912751678,1.0
25,COc1cccc(C2CN3CCCC3c3cc(OCCCN4CCCCC4)ccc32)c1,0.10884353741496598,1.0
26,Cc1cccc(C(=O)Nc2ccc(N3CCC(N4CCCCC4)CC3)c(C(=O)O)c2)c1,0.1510791366906475,1.0
27,COc1ccccc1CC(=O)N(C)CC(c1cccc2c1OCO2)N1CCC(N2CCCCC2)CC1,0.1282051282051282,1.0
28,COc1ccccc1CNC(=O)CN1C(=O)COc2ccc(S(=O)(=O)N3CCCCC3)cc21,0.12244897959183673,1.0
29,COc1ccccc1CN1CC2CCCN3CCCC(C1CCCC(=O)O)C23,0.1968503937007874,0.1353352832366127
30,O=C(NC1CCCc2cc(CN3CCCCC3)ccc21)C(O)C(O)CS(=O)(=O)c1cccc(Cl)c1,0.14093959731543623,1.0
31,COc1ccc(C(CNC(=O)COc2ccc(Cl)c(C)c2)N2CCCCC2)cc1,0.1323529411764706,1.0
32,Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2N2CCCC2)cc1,0.12403100775193798,1.0
33,CCC(O)(CC)c1ccccc1N1CCN(C(=O)C(Cc2ccc(Cl)cc2Cl)NC(=O)N2CCCC2=O)CC1,0.16883116883116883,1.0
34,CCCC(O)C(CNCc1ccc(C)cc1C)NC(=O)CNC(=O)c1cc(C(F)(F)F)ccc1NC(=O)N1CCCC1,0.1910828025477707,1.0
