BO Iteration,Selected SMILES,f1,f2,f3
0,CN(C)S(=O)(=O)c1cc(NC2CC(=O)N(c3ccc(F)cc3)C2=O)ccc1Cl,0.9497841791869512,0.16466005665722377,1.0
1,Cc1ccc(NC(=O)c2c(F)cccc2Cl)cc1S(=O)(=O)N1CCOCC1,0.3602271407382132,0.19244868035190615,1.0
2,Cn1c(=O)c(=O)n(C)c2cc(S(=O)(=O)NCc3ccc(Cl)cc3)ccc21,1.0,0.15044576523031203,1.0
3,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)C(=O)N(C)C3=O)cc1,0.8121968841874341,0.14308426073131955,1.0
4,CCc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc3c(c2)c(=O)n(C)c(=O)n3C)cc1,1.0,0.15520694259012016,1.0
5,Cn1c(N)c(S(=O)(=O)NCc2ccccc2Cl)c(=O)n(C)c1=O,1.0,0.07100149476831091,1.0
6,CC(=O)NCCc1nc2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2n1C,1.0,0.16977611940298507,1.0
7,CS(=O)(=O)c1ccc(C(=O)NS(=O)(=O)c2ccc(Cl)cc2)c(Cl)c1,1.0,0.10606060606060606,1.0
8,O=S(=O)(Nc1cccc(Cl)c1)c1ccc(F)cc1,6.736772582873608e-05,0.12931034482758622,1.0
9,Cn1ccnc1C(=O)Nc1ccc(N2C(=O)c3ccc(Cl)cc3C2=O)c(Cl)c1,0.8500585920924478,0.11789181692094314,1.0
10,Cc1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1C,1.0,0.10661764705882354,1.0
11,CN(C)c1c(NC(Cc2ccc(NC(=O)c3c(Cl)cncc3Cl)cc2)C(=O)O)c(=O)c1=O,1.0,0.17517006802721088,1.0
12,Cc1ccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3nnc(C(C)C)s3)n2)cc1,1.0,0.09118037135278514,1.0
13,C=CCN1C(=O)NC(=O)C(=C(C)Nc2ccc(NC(C)=O)cc2)C1=O,1.0,0.12048192771084337,1.0
14,CC(=O)C1=C(O)C(=C(O)Nc2ccc(C)cc2)C(=O)OC1=O,1.0,0.08816614420062695,1.0
15,CCOC(=O)c1c(S(=O)(=O)NCC(=O)Nc2ccc(C(C)=O)cc2)c(C)n(C)c1C,1.0,0.10927152317880795,1.0
16,CCN(CC(=O)NCc1ccc(Cl)cc1)S(=O)(=O)c1ccc(NC(C)=O)cc1,1.0,0.18916913946587538,1.0
