BO Iteration,Selected SMILES by EI,f1,f2,f3,Hypervolume
0,CCOC(=O)c1csc(NC(=O)c2ccncc2NS(=O)(=O)c2ccc(C)cc2)n1,1.0,0.11904761904761904,1.0,0.23880979862711474
1,CCOC(=O)Cc1csc(NC(=O)c2ccc3ccccc3n2)n1,0.6777600244055615,0.14976038338658149,1.0,0.23880979862711474
2,CSCCC(NC(=O)c1cccc(S(=O)(=O)N2CCN(C(C)=O)CC2)c1)c1nc2ccccc2[nH]1,1.0,0.22040302267002518,1.0,0.2388420399628526
3,CCOCC(=O)Nc1ccc(S(=O)(=O)N2CCC(c3nc4ccccc4[nH]3)CC2)cc1,1.0,0.25439238653001467,1.0,0.23960437620860783
4,CCOc1ccccc1NC(=O)CCN1CCN(S(=O)(=O)c2ccc(OC)cc2)CC1,0.9835743958876584,0.3217628705148206,1.0,0.29772946694894864
5,Cc1cccc(NC(=O)COC(=O)CCc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1C,1.0,0.24002954209748892,1.0,0.29772946694894864
6,Cc1ccc(C)c(NC(=O)COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)c1,1.0,0.19473293768545993,1.0,0.29772946694894864
7,Cc1ccc(S(=O)(=O)CCC(=O)Nc2ccccc2N2CCCC2)cc1,0.06291617463012741,0.22244094488188978,1.0,0.29772946694894864
8,CCOC(=O)c1c(NC(=O)c2ccc(S(=O)(=O)N3CCC(C)CC3)cc2)sc2c1CCN(CC)C2,1.0,0.22087067861715748,1.0,0.29772946694894864
9,CCOc1ccc(C(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1,0.06970857092366624,0.2559055118110236,1.0,0.29772946694894864
10,Cc1ccc(S(=O)(=O)N2CCC(C(=O)OCC(=O)NC(C)c3ccc(F)cc3)CC2)cc1C,1.0,0.24964336661911554,1.0,0.29772946694894864
11,COc1ccc(S(=O)(=O)N2CCC(C(=O)NC(C)C(=O)N3CCCC3)CC2)cc1,1.0,0.18403790087463556,1.0,0.29772946694894864
12,COc1ccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4nonc34)C2)cc1OC,1.0,0.21522038567493113,1.0,0.29772946694894864
13,CCc1ccc(NC(=O)C2CCN(S(=O)(=O)c3c(C)nc(O)nc3O)CC2)cc1,1.0,0.21418020679468242,1.0,0.29772946694894864
14,O=C(CCNC(=O)C1CCN(S(=O)(=O)c2ccccc2)CC1)NCc1cccc(C(F)(F)F)c1,1.0,0.2553956834532374,1.0,0.2977298029662836
15,COC1CCN(S(=O)(=O)c2ccc(CNC(=O)c3cnc4[nH]ncc4c3)cc2)CC1,1.0,0.1925872093023256,1.0,0.2977298029662836
16,COc1ccc(OC)c(S(=O)(=O)N2CCC(Oc3ccc(C(F)(F)F)cc3)CC2)c1C(=O)NO,1.0,0.22116644823066842,1.0,0.2977298029662836
17,CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)C3CCN(C(=O)c4cccc(C(F)(F)F)c4)CC3)sc12,1.0,0.2221200980392157,0.4941286453540665,0.2977298029662836
