BO Iteration,Selected SMILES,f1,f2
0,Cc1ccccc1CC(=O)NCC1CCCCC1,0.18269230769230768,0.1353352832366127
1,COc1ccccc1S(=O)(=O)NC1CCC(CCn2cc(C3CCCC3)nn2)OC1CO,0.17266187050359713,1.0
2,O=C(O)COCCCCC1C(F)CCC1NS(=O)(=O)c1ccccc1[N+](=O)[O-],0.14728682170542637,0.1353352832366127
3,CCOc1ccccc1C(C(=O)NC1CCCC1)N(C(=O)c1csnn1)C1CCCC1,0.1925925925925926,1.0
4,COc1cccc(C(C(=O)NC2CCCC2)N(C(=O)c2ccco2)C2CC2)c1OC,0.18181818181818182,1.0
5,COc1ccccc1NC(=O)N(C1CCCC1)C1CCN(C(C)=O)CC1,0.19834710743801653,0.1353352832366127
6,O=C(NC1CCCC1)C(c1c(F)cccc1Cl)N(C(=O)c1csnn1)C1CC1,0.16279069767441862,1.0
7,COCCN(C(=O)c1csnn1)C(C(=O)NC1CCCCC1)c1ccc(C)cc1,0.1937984496124031,1.0
8,C=CCN(C(=O)CNC(=O)c1ccco1)C(C(=O)NC1CCCCC1)c1cccnc1,0.18518518518518517,1.0
9,Cc1cc(-c2ccccc2C(=O)NC2CCCCC2)on1,0.14782608695652175,1.0
10,Cc1ccc(S(=O)(=O)NCC(=O)N(CC(=O)NC2CCCCC2)CC2CCCO2)cc1,0.1865671641791045,0.1353352832366127
11,O=C(NC1CCCC1)c1ccc(COc2ccccc2Br)o1,0.1440677966101695,1.0
12,Cc1ccccc1N(C(=O)c1csnn1)C(C(=O)NC1CCCCC1)c1ccncc1,0.15,0.1353352832366127
13,CCOc1ccc(Br)cc1S(=O)(=O)NC1CCCC1,0.18095238095238095,0.1353352832366127
14,O=C(NC1CCCCC1)N1CCc2onc(COc3cccnc3)c2C1,0.14728682170542637,1.0
15,CC(Nc1ncc(F)c(N2C(=O)OCC2C(C)C)n1)c1ccc(C(=O)NC2CCCCC2)c(F)c1,0.1736111111111111,1.0
16,O=C(NC1CCCC1)c1cnn2c1NC(=C1CC1)C=C2C(F)F,0.15254237288135594,0.1353352832366127
17,O=C(O)C=NOC(c1ccc(OCc2cscn2)cc1)C1CCCCC1,0.15748031496062992,1.0
18,O=C(Nc1cccc(CN2CCC(C(O)=NC3CCCCC3)CC2)c1)c1ccncc1Cl,0.15492957746478872,1.0
